,a,b,c,cuoa,energy,abstrain,zstrain
0,3.8406803555936,3.9226691432526,11.850422408936,2.3265523085993998,-11256.46169779,0.0,0.0
1,3.8406803581849,3.9226691459401,11.494909744437,2.1894108050210006,-11256.40137642,0.0,-0.03
3,3.9559007689625,4.0403492203193,11.850422416876,2.346842983534801,-11256.13190322,0.03,0.0
4,3.8406803581849,3.9226691459401,12.087430865235,2.4439929917604006,-11256.42948031,0.0,0.02
6,3.9174939653366,4.0011225287929,11.850422416876,2.3418213629001006,-11256.30450529,0.02,0.0
7,3.8406803581849,3.9226691459401,11.731918192696,2.2764656128066,-11256.45852701,0.0,-0.01
9,3.8790871617108,3.9618958373665,11.850422416876,2.3340969053449,-11256.41681865,0.01,0.0
10,3.7638667510332,3.8442157629873,11.850422416876,2.3069676055038,-11256.32634968,-0.02,0.0
11,3.8406803581849,3.9226691459401,12.324439313595,2.5719140280668995,-11256.36027228,0.0,0.04
13,3.8022735545591,3.8834424544137,11.850422416876,2.3182628770132006,-11256.43437281,-0.01,0.0
14,3.8406803581849,3.9226691459401,12.205935089415,2.5068085423240003,-11256.39938815,0.0,0.03
16,3.6870531438816,3.7657623800345,11.850422416876,2.2838403450522993,-11255.83693107,-0.04,0.0
17,3.9943075724883,4.0795759117457,11.850422416876,2.3537458545909997,-11255.90504003,0.04,0.0
18,3.8406803581849,3.9226691459401,11.376405520257,2.1546039202939005,-11256.3424249,0.0,-0.04
20,3.7254599474074,3.8049890715609,11.850422416876,2.2951357315716,-11256.1301188,-0.03,0.0
21,3.8406803581849,3.9226691459401,11.613413968616,2.2294333700091,-11256.43909721,0.0,-0.02
23,3.8406803581849,3.9226691459401,11.968926641056,2.3845873415813,-11256.4517364,0.0,0.01
25,3.9174939653366,4.0011225287929,11.494909744437,2.1921220506400996,-11256.3181977,0.02,-0.03
26,3.8022735545591,3.8834424544137,11.494909744437,2.1861178670876997,-11256.3321637,-0.01,-0.03
27,3.6870531438815,3.7657623800345,11.494909744437,2.1693381620034,-11255.59047215,-0.04,-0.03
28,3.7638667510332,3.8442157629873,11.494909744437,2.1817453208421,-11256.17933542,-0.02,-0.03
29,3.8790871617108,3.9618958373665,11.494909744437,2.1915136348923,-11256.39494686,0.01,-0.03
30,3.7254599474074,3.8049890715609,11.494909744437,2.1761700183015,-11255.93455665,-0.03,-0.03
31,3.9559007689625,4.0403492203193,11.494909744437,2.1918520487157,-11256.18141862,0.03,-0.03
32,3.9943075724883,4.0795759117457,11.494909744437,2.1894147608403998,-11255.98742505,0.04,-0.03
33,3.7254599474074,3.8049890715609,12.087430865235,2.3991542486192,-11256.17098988,-0.03,0.02
34,3.6870531438815,3.7657623800345,12.087430865235,2.387438550352,-11255.90647579,-0.04,0.02
35,3.9174939653366,4.0011225287929,12.087430865235,2.4703730623297995,-11256.23144601,0.02,0.02
36,3.8790871617108,3.9618958373665,12.087430865235,2.4575474097075,-11256.36420363,0.01,0.02
37,3.9559007689625,4.0403492203193,12.087430865235,2.4842764196095004,-11256.04133716,0.03,0.02
38,3.8022735545591,3.8834424544137,12.087430865235,2.4297912462635,-11256.42510076,-0.01,0.02
39,3.9943075724883,4.0795759117457,12.087430865235,2.4955838063758,-11255.79774487,0.04,0.02
40,3.7638667510333,3.8442157629873,12.087430865235,2.4149253318510002,-11256.34122989,-0.02,0.02
41,3.9559007689625,4.0403492203193,11.731918192696,2.291426107943801,-11256.16271064,0.03,-0.01
42,3.7254599474074,3.8049890715609,11.731918192696,2.2514477623444007,-11256.08511743,-0.03,-0.01
43,3.9174939653366,4.0011225287929,11.731918192696,2.2880348244248996,-11256.32306966,0.02,-0.01
44,3.9943075724883,4.0795759117457,11.731918192696,2.2934179894363993,-11255.94476447,0.04,-0.01
45,3.7638667510333,3.8442157629873,11.731918192696,2.2607005518139998,-11256.29581604,-0.02,-0.01
46,3.8790871617108,3.9618958373665,11.731918192696,2.2832095779065007,-11256.42495455,0.01,-0.01
47,3.8022735545591,3.8834424544137,11.731918192696,2.2684404216083998,-11256.41840766,-0.01,-0.01
48,3.6870531438815,3.7657623800345,11.731918192696,2.2414384853718,-11255.77635616,-0.04,-0.01
49,3.9943075724883,4.0795759117457,12.324439313595,2.6381341333524,-11255.66528402,0.04,0.04
50,3.9174939653366,4.0011225287929,12.324439313595,2.606262221352,-11256.12818943,0.02,0.04
51,3.6870531438815,3.7657623800345,12.324439313595,2.4961620843157,-11255.92391831,-0.04,0.04
52,3.7638667510332,3.8442157629873,12.324439313595,2.5350549884237,-11256.31119473,-0.02,0.04
53,3.9559007689625,4.0403492203193,12.324439313595,2.6225052256926995,-11255.92327938,0.03,0.04
54,3.8022735545591,3.8834424544137,12.324439313595,2.5537789212817,-11256.37361833,-0.01,0.04
55,3.8790871617108,3.9618958373665,12.324439313595,2.5897257073384994,-11256.27679551,0.01,0.04
56,3.7254599474074,3.8049890715609,12.324439313595,2.5156509815034003,-11256.1632688,-0.03,0.04
57,3.9943075724883,4.0795759117457,12.205935089415,2.567512376343701,-11255.73391006,0.04,0.03
58,3.8790871617108,3.9618958373665,12.205935089415,2.5236921110017008,-11256.32318426,0.01,0.03
59,3.7254599474074,3.8049890715609,12.205935089415,2.4555430192197996,-11256.17179016,-0.03,0.03
60,3.8022735545591,3.8834424544137,12.205935089415,2.491651485729,-11256.4039563,-0.01,0.03
61,3.9174939653366,4.0011225287929,12.205935089415,2.5392195322584,-11256.18342456,0.02,0.03
62,3.7638667510332,3.8442157629873,12.205935089415,2.4745086926499997,-11256.33064844,-0.02,0.03
63,3.9559007689625,4.0403492203193,12.205935089415,2.5535823486690994,-11255.98525239,0.03,0.03
64,3.6870531438815,3.7657623800345,12.205935089415,2.4367620280063003,-11255.92104745,-0.04,0.03
65,3.7638667510332,3.8442157629873,11.376405520257,2.1494231086722007,-11256.08782052,-0.02,-0.04
66,3.9559007689625,4.0403492203193,11.376405520257,2.1534150173030007,-11256.16463566,0.03,-0.04
67,3.9943075724883,4.0795759117457,11.376405520257,2.1500781966488995,-11255.98319433,0.04,-0.04
68,3.8790871617108,3.9618958373665,11.376405520257,2.155445267494299,-11256.35098515,0.01,-0.04
69,3.7254599474074,3.8049890715609,11.376405520257,2.145047778565801,-11255.82517655,-0.03,-0.04
70,3.8022735545591,3.8834424544137,11.376405520257,2.152562603571001,-11256.25756246,-0.01,-0.04
71,3.9174939653366,4.0011225287929,11.376405520257,2.154905329141701,-11256.28892658,0.02,-0.04
72,3.6870531438815,3.7657623800345,11.376405520257,2.139410613706101,-11255.46033775,-0.04,-0.04
73,3.7254599474074,3.8049890715609,11.613413968616,2.211700998910101,-11256.02036915,-0.03,-0.02
74,3.8022735545591,3.8834424544137,11.613413968616,2.2245205646069994,-11256.38478645,-0.01,-0.02
75,3.9174939653366,4.0011225287929,11.613413968616,2.2355565207546997,-11256.32959179,0.02,-0.02
76,3.7638667510333,3.8442157629873,11.613413968616,2.218666195048801,-11256.24839991,-0.02,-0.02
77,3.9943075724883,4.0795759117457,11.613413968616,2.2365822591992996,-11255.97364619,0.04,-0.02
78,3.8790871617108,3.9618958373665,11.613413968616,2.2331696392421003,-11256.41812978,0.01,-0.02
79,3.9559007689625,4.0403492203193,11.613413968616,2.2368197322647996,-11256.17897273,0.03,-0.02
80,3.6870531438816,3.7657623800345,11.613413968616,2.2033903085024003,-11255.69415113,-0.04,-0.02
81,3.9559007689625,4.0403492203193,11.968926641056,2.4153880206685994,-11256.09028564,0.03,0.01
82,3.8022735545591,3.8834424544137,11.968926641056,2.3709828872437004,-11256.43520948,-0.01,0.01
83,3.7638667510332,3.8442157629873,11.968926641056,2.3589026754823994,-11256.34013492,-0.02,0.01
84,3.8790871617108,3.9618958373665,11.968926641056,2.3954656593324994,-11256.3950973,0.01,0.01
85,3.9174939653366,4.0011225287929,11.968926641056,2.4051830707172,-11256.27253483,0.02,0.01
86,3.6870531438815,3.7657623800345,11.968926641056,2.332917887205599,-11255.87958147,-0.04,0.01
87,3.7254599474074,3.8049890715609,11.968926641056,2.3485274126717,-11256.15687863,-0.03,0.01
88,3.9943075724883,4.0795759117457,11.968926641056,2.4238378613768994,-11255.85556806,0.04,0.01
