,author :,title :,journal :,year :
0,"Y.Saito, T.Noji, A.Endo, N.Matsuzaki, M.Katsumata,","Composition dependence of the high temperature superconductivity in (Ba,Sr)-La-(Hg,Ag)-Cu-O system with K2NiF4-type structure","Jpn.J.Appl.Phys., 26(1987)L223",1987.0
16,"G. J. BALDHA, H. H. JOSHI, K. V. RAO, R. G. KULKARNI, S. M. JOSHI, V. SKUMRYEV,",MAGNETIC PROPERTIES OF YBA1.5CA0.5CU3-O7-Z SUPERCONDUCTOR,SOLID STATE COMMUN.72(1989)1203,1989.0
17,"H.Takagi, S.Uchida, K.Kitazawa, S.Tanaka,",High-Tc superconductivity of La-Ba-Cu oxides. II.-Specification of the superconducting phase,"Jpn.J.Appl.Phys., 26(1987)L123",1987.0
18,"S.Uchida, H.Takagi, K.Kitazawa, S.Tanaka,",High-Tc superconductivity of La-Ba-Cu oxides. III. Electrical resistivity measurement,"Jpn.J.Appl.Phys., 26(1987)L151",1987.0
19,"S.Uchida, H.Takagi, S.Tanaka, K.Nakao, N.Miura, K.Kishio, K.Kitazawa, K.Fueki,",High-Tc superconductivity of La-Ba(Sr)-Cu oxides. IV Critical magnetic fields,"Jpn.J.Appl.Phys., 26(1987)L196",1987.0
20,"S.Kanbe, K.Kishio, K.Kitazawa, K.Fueki, H.Takagi, S.Tanaka,",Superconductivity and lattice parameters in (La1-xSrx)2CuO4-d solid solution system,"Chem.Lett., No.3 (1987)547-550",1987.0
27,"K.Kishio, K.Kitazawa, S.Kanbe, I.Yasuda, N.Sugii, H.Takagi, S.Uchida, K.Fueki, S.Tanaka,",New high temperature superconducting oxides (La1-xSrx)2CuO4-d and (La1-xCax)2CuO4-d,"Jpn.J.Appl.Phys., 26(1987)L325",1987.0
28,"K.SEMBA, M.HIKITA, S.KURIHARA, S.TSURUMI, T.IWATA,",OXYGEN-DEFECT PEROVSKITE STRUCTURE WITH SUPERCONDUCTING TC ABOVE 50K IN LA-BA-CU-O COMPOUND SYSTEM,"JJAP.LETT.,26(1987)L615",1987.0
29,"A.INOUE, H.KIMURA, K.MATSUZAKI, K.MOROISHI, T.MASUMOTO,",SUPERCONDUCTIVITY ABOVE 90K IN Y-BA-CU-O COMPOUNDS AND THEIR CRITICAL CURRENT DENSITIES AT 77K,"JJAP.LETT.,26(1987)L624",1987.0
36,"S.Hosoya, S.Shamoto, M.Onoda, M.Sato,",High-Tc superconductivity in new oxide systems,,1987.0
38,"D.W.Capone II, D.G.Hinks, J.D.Jorgensen, K.Zhang,",Upper critical fields and high superconducting transition temperatures of La1.85Sr0.15CuO4 and La1.85Ba0.15CuO4,"Appl.Phys.Lett., 50(1987)543",1987.0
40,"KAZUO FUEKI, KOHJI KISHIO, KOICHI KITAZAWA, MAKOTO AOKI, NAOKI OOBA, SHIN-ICHI UCHIDA, SHOJI TANAKA, TETSUYA HASEGAWA,",HIGH TC SUPERCONDUCTIVITY OF (LA(1-X)SR(X))(2)CU(1)O(4)EFFECT OF SUBSTITUTION OF FOREIGN IONS FOR CU AND LA ON SUPERCONDUCTIVITY,"JJAP.LETT.,26(1987)L337",1987.0
