,a,b,c,cuoa,energy,abstrain,zstrain
0,3.895222266824,3.895222266824,16.275985422801,3.033761385928999,-16915.23800624,0.0,0.0
1,4.0510311602265,4.0510311602265,16.275985433754,3.010123421964,-16914.60080044,0.04,0.0
2,4.0120789375003,4.0120789375003,16.275985433754,3.0160045750629987,-16914.86168548,0.03,0.0
3,3.9731267148741,3.9731267148741,16.275985433754,3.0238023292089995,-16915.06066408,0.02,0.0
4,3.9341744921479,3.9341744921479,16.275985433754,3.0295340857250004,-16915.18790802,0.01,0.0
5,3.8562700467954,3.8562700467954,16.275985433754,3.0386498597730007,-16915.20163544,-0.01,0.0
6,3.8173178240692,3.8173178240692,16.275985433754,3.0446145373199993,-16915.07613843,-0.02,0.0
7,3.778365601343,3.778365601343,16.275985433754,3.0499679849630006,-16914.84876042,-0.03,0.0
8,3.7394133787168,3.7394133787168,16.275985433754,3.0535443549199996,-16914.51417915,-0.04,0.0
9,3.8952222694217,3.8952222694217,16.927024851093,3.2396533156919993,-16915.06741365,0.0,0.04
11,3.8952222694217,3.8952222694217,16.764264996783,3.189894992567,-16915.1364575,0.0,0.03
13,3.8952222694217,3.8952222694217,16.601505142474,3.1383693621049993,-16915.18915796,0.0,0.02
15,3.8952222694217,3.8952222694217,16.438745288064,3.08468251643,-16915.223717,0.0,0.01
17,3.8952222694217,3.8952222694217,16.113225579445,2.9827368048939995,-16915.23165541,0.0,-0.01
19,3.8952222694217,3.8952222694217,15.950465725035,2.924939218855,-16915.20680372,0.0,-0.02
21,3.8952222694217,3.8952222694217,15.787705870726,2.870139353133,-16915.16279759,0.0,-0.03
23,3.8952222694217,3.8952222694217,15.624946016416,2.813810125151999,-16915.09515082,0.0,-0.04
25,4.0510311602265,4.0510311602265,16.927024851093,3.221454257544,-16914.32982618,0.04,0.04
26,4.0120789375003,4.0120789375003,16.927024851093,3.2268760298090005,-16914.61173732,0.03,0.04
27,3.9731267148741,3.9731267148741,16.927024851093,3.230388199226999,-16914.8338474,0.02,0.04
28,3.9341744921479,3.9341744921479,16.927024851093,3.2314634999010003,-16914.98784985,0.01,0.04
29,3.8562700467954,3.8562700467954,16.927024851093,3.2422242198659994,-16915.06566891,-0.01,0.04
30,3.8173178240692,3.8173178240692,16.927024851093,3.244545477979999,-16914.97689843,-0.02,0.04
31,3.778365601343,3.778365601343,16.927024851093,3.2509096606399996,-16914.7894565,-0.03,0.04
32,3.7394133787168,3.7394133787168,16.927024851093,3.2546456308089997,-16914.49442092,-0.04,0.04
33,4.0510311602265,4.0510311602265,16.764264996783,3.1708530777479993,-16914.42123794,0.04,0.03
34,4.0120789375003,4.0120789375003,16.764264996783,3.1751369291839993,-16914.69877125,0.03,0.03
35,3.9731267148741,3.9731267148741,16.764264996783,3.176997098476999,-16914.91587505,0.02,0.03
36,3.9341744921479,3.9341744921479,16.764264996783,3.1846023934899996,-16915.0642985,0.01,0.03
37,3.8562700467954,3.8562700467954,16.764264996783,3.190981039794,-16915.12800957,-0.01,0.03
38,3.8173178240692,3.8173178240692,16.764264996783,3.1994275111599997,-16915.03045462,-0.02,0.03
39,3.778365601343,3.778365601343,16.764264996783,3.2033007756200007,-16914.83509113,-0.03,0.03
40,3.7394133787168,3.7394133787168,16.764264996783,3.2054523467510005,-16914.52893178,-0.04,0.03
41,4.0510311602265,4.0510311602265,16.601505142474,3.116242302267999,-16914.49692748,0.04,0.02
42,4.0120789375003,4.0120789375003,16.601505142474,3.120088765378,-16914.77002533,0.03,0.02
43,3.9731267148741,3.9731267148741,16.601505142474,3.124465630622,-16914.98116624,0.02,0.02
44,3.9341744921479,3.9341744921479,16.601505142474,3.1316230676100005,-16915.12203407,0.01,0.02
45,3.8562700467954,3.8562700467954,16.601505142474,3.1409539331030008,-16915.17213699,-0.01,0.02
46,3.8173178240692,3.8173178240692,16.601505142474,3.147898233935999,-16915.06540479,-0.02,0.02
47,3.778365601343,3.778365601343,16.601505142474,3.154923825869,-16914.85931081,-0.03,0.02
48,3.7394133787168,3.7394133787168,16.601505142474,3.1534482903020002,-16914.54476173,-0.04,0.02
49,4.0510311602265,4.0510311602265,16.438745288064,3.0588331492290006,-16914.5589366,0.04,0.01
50,4.0120789375003,4.0120789375003,16.438745288064,3.0637361791029996,-16914.82589338,0.03,0.01
51,3.9731267148741,3.9731267148741,16.438745288064,3.068194027299999,-16915.03115638,0.02,0.01
52,3.9341744921479,3.9341744921479,16.438745288064,3.075701092099001,-16915.16557118,0.01,0.01
53,3.8562700467954,3.8562700467954,16.438745288064,3.0894890071029995,-16915.19826288,-0.01,0.01
54,3.8173178240692,3.8173178240692,16.438745288064,3.0988052420520003,-16915.08138515,-0.02,0.01
55,3.778365601343,3.778365601343,16.438745288064,3.0982552855010006,-16914.86435052,-0.03,0.01
56,3.7394133787168,3.7394133787168,16.438745288064,3.099438137832001,-16914.53916526,-0.04,0.01
57,4.0510311602265,4.0510311602265,16.113225579445,2.9489011852600004,-16914.62765923,0.04,-0.01
58,4.0120789375003,4.0120789375003,16.113225579445,2.957069213616,-16914.880418,0.03,-0.01
59,3.9731267148741,3.9731267148741,16.113225579445,2.9643137167109987,-16915.07243078,0.02,-0.01
60,3.9341744921479,3.9341744921479,16.113225579445,2.973805339237,-16915.18965712,0.01,-0.01
61,3.8562700467954,3.8562700467954,16.113225579445,2.99029517552,-16915.18754332,-0.01,-0.01
62,3.8173178240692,3.8173178240692,16.113225579445,2.9954815768710006,-16915.04999963,-0.02,-0.01
63,3.778365601343,3.778365601343,16.113225579445,2.9956221703490016,-16914.81195298,-0.03,-0.01
64,3.7394133787168,3.7394133787168,16.113225579445,2.993948252909,-16914.46571333,-0.04,-0.01
73,4.0510311602265,4.0510311602265,15.950465725035,2.893073063317999,-16914.63461724,0.04,-0.02
74,4.0120789375003,4.0120789375003,15.950465725035,2.8988408752110004,-16914.88128478,0.03,-0.02
75,3.9731267148741,3.9731267148741,15.950465725035,2.9085750961979997,-16915.06497698,0.02,-0.02
76,3.9341744921479,3.9341744921479,15.950465725035,2.9163929531580006,-16915.17587553,0.01,-0.02
77,3.8562700467954,3.8562700467954,15.950465725035,2.9318809401399992,-16915.15229509,-0.01,-0.02
78,3.8173178240692,3.8173178240692,15.950465725035,2.936271029537,-16915.00323048,-0.02,-0.02
79,3.778365601343,3.778365601343,15.950465725035,2.9364858729990004,-16914.7535781,-0.03,-0.02
80,3.7394133787168,3.7394133787168,15.950465725035,2.938353611156,-16914.39721734,-0.04,-0.02
89,4.0510311602265,4.0510311602265,15.787705870726,2.836640670754001,-16914.62794188,0.04,-0.03
90,4.0120789375003,4.0120789375003,15.787705870726,2.8462650454940004,-16914.86473617,0.03,-0.03
91,3.9731267148741,3.9731267148741,15.787705870726,2.8537773574830005,-16915.04061721,0.02,-0.03
92,3.9341744921479,3.9341744921479,15.787705870726,2.862266611436999,-16915.1421873,0.01,-0.03
93,3.8562700467954,3.8562700467954,15.787705870726,2.8774346552139995,-16915.09723739,-0.01,-0.03
94,3.8173178240692,3.8173178240692,15.787705870726,2.8788654472990007,-16914.93589642,-0.02,-0.03
95,3.778365601343,3.778365601343,15.787705870726,2.8826144257969997,-16914.67695082,-0.03,-0.03
