,a,b,c,cuoa,energy,abstrain,zstrain
0,3.8216864480985,3.8216864480985,13.462185643206,2.468889908403799,-10785.98326527,0.0,0.0
1,3.974553908675,3.974553908675,13.462185652261,2.4875061637759,-10785.38217973,0.04,0.0
2,3.9363370441493,3.9363370441493,13.462185652261,2.481979780872299,-10785.62881348,0.03,0.0
3,3.8981201797236,3.8981201797236,13.462185652261,2.4770684289841007,-10785.81540584,0.02,0.0
4,3.8599033151979,3.8599033151979,13.462185652261,2.4724915226599,-10785.93654966,0.01,0.0
5,3.7834695861464,3.7834695861464,13.462185652261,2.4676624133308005,-10785.95173458,-0.01,0.0
6,3.7452527216207,3.7452527216207,13.462185652261,2.46528826416,-10785.82802498,-0.02,0.0
7,3.707035857195,3.707035857195,13.462185652261,2.4636505594965996,-10785.60429313,-0.03,0.0
8,3.6688189926693,3.6688189926693,13.462185652261,2.462503763784201,-10785.26535797,-0.04,0.0
9,3.8216864506722,3.8216864506722,14.000673078323,2.585891880258501,-10785.75440176,0.0,0.04
11,3.8216864506722,3.8216864506722,13.866051221832,2.5577355117524005,-10785.85103944,0.0,0.03
13,3.8216864506722,3.8216864506722,13.731429365342,2.528815525623001,-10785.92342814,0.0,0.02
15,3.8216864506722,3.8216864506722,13.596807508751,2.498493054533399,-10785.96836504,0.0,0.01
17,3.8216864506722,3.8216864506722,13.32756379577,2.4394160048231006,-10785.97027207,0.0,-0.01
19,3.8216864506722,3.8216864506722,13.192941939179,2.408244706389601,-10785.92640631,0.0,-0.02
21,3.8216864506722,3.8216864506722,13.058320082689,2.3770703755203,-10785.84716995,0.0,-0.03
23,3.8216864506722,3.8216864506722,12.923698226198,2.3455131604835993,-10785.73432619,0.0,-0.04
25,3.974553908675,3.974553908675,14.000673078323,2.6160413948193,-10784.8479246,0.04,0.04
26,3.9363370441493,3.9363370441493,14.000673078323,2.6074033964364,-10785.16636493,0.03,0.04
27,3.8981201797236,3.8981201797236,14.000673078323,2.598974584285699,-10785.42625227,0.02,0.04
28,3.8599033151979,3.8599033151979,14.000673078323,2.5920437269478,-10785.62547545,0.01,0.04
29,3.7834695861464,3.7834695861464,14.000673078323,2.5813925284557993,-10785.80848956,-0.01,0.04
30,3.7452527216207,3.7452527216207,14.000673078323,2.5778471426082,-10785.77144583,-0.02,0.04
31,3.707035857195,3.707035857195,14.000673078323,2.575362280603799,-10785.64004167,-0.03,0.04
32,3.6688189926693,3.6688189926693,14.000673078323,2.5739188604202,-10785.39657558,-0.04,0.04
33,3.974553908675,3.974553908675,13.866051221832,2.5846949760155997,-10785.01435256,0.04,0.03
34,3.9363370441493,3.9363370441493,13.866051221832,2.5759165002919,-10785.31689598,0.03,0.03
35,3.8981201797236,3.8981201797236,13.866051221832,2.5692548407828006,-10785.56022535,0.02,0.03
36,3.8599033151979,3.8599033151979,13.866051221832,2.5630327479111,-10785.74083479,0.01,0.03
37,3.7834695861464,3.7834695861464,13.866051221832,2.5535264118153993,-10785.88429756,-0.01,0.03
38,3.7452527216207,3.7452527216207,13.866051221832,2.5504720895147006,-10785.82855915,-0.02,0.03
39,3.707035857195,3.707035857195,13.866051221832,2.5481966656486996,-10785.67447878,-0.03,0.03
40,3.6688189926693,3.6688189926693,13.866051221832,2.547069202213301,-10785.4124714,-0.04,0.03
41,3.974553908675,3.974553908675,13.731429365342,2.5526201002099,-10785.15992977,0.04,0.02
42,3.9363370441493,3.9363370441493,13.731429365342,2.545364335744299,-10785.44468489,0.03,0.02
43,3.8981201797236,3.8981201797236,13.731429365342,2.5390205497014007,-10785.67005427,0.02,0.02
44,3.8599033151979,3.8599033151979,13.731429365342,2.5331936529904002,-10785.83341435,0.01,0.02
45,3.7834695861464,3.7834695861464,13.731429365342,2.5251614320459996,-10785.93496485,-0.01,0.02
46,3.7452527216207,3.7452527216207,13.731429365342,2.5223491578478994,-10785.85738796,-0.02,0.02
47,3.707035857195,3.707035857195,13.731429365342,2.5198467417525006,-10785.6822302,-0.03,0.02
48,3.6688189926693,3.6688189926693,13.731429365342,2.5190006674506,-10785.39403522,-0.04,0.02
49,3.974553908675,3.974553908675,13.596807508751,2.5201095217507,-10785.27911722,0.04,0.01
50,3.9363370441493,3.9363370441493,13.596807508751,2.5138220096862005,-10785.54842109,0.03,0.01
51,3.8981201797236,3.8981201797236,13.596807508751,2.5081361867334993,-10785.75403352,0.02,0.01
52,3.8599033151979,3.8599033151979,13.596807508751,2.5034915735611003,-10785.89787599,0.01,0.01
53,3.7834695861464,3.7834695861464,13.596807508751,2.4960420522059,-10785.95816167,-0.01,0.01
54,3.7452527216207,3.7452527216207,13.596807508751,2.4934034782269006,-10785.85765242,-0.02,0.01
55,3.707035857195,3.707035857195,13.596807508751,2.4927406924356994,-10785.65923395,-0.03,0.01
56,3.6688189926693,3.6688189926693,13.596807508751,2.4922699996468998,-10785.34811278,-0.04,0.01
57,3.974553908675,3.974553908675,13.32756379577,2.4545954196591993,-10785.45628955,0.04,-0.01
58,3.9363370441493,3.9363370441493,13.32756379577,2.4498621284014996,-10785.6829535,0.03,-0.01
59,3.8981201797236,3.8981201797236,13.32756379577,2.4449177698020996,-10785.84765864,0.02,-0.01
60,3.8599033151979,3.8599033151979,13.32756379577,2.4429034982430995,-10785.94783195,0.01,-0.01
61,3.7834695861464,3.7834695861464,13.32756379577,2.4361284818282005,-10785.91631169,-0.01,-0.01
62,3.7452527216207,3.7452527216207,13.32756379577,2.4346781627217995,-10785.76484871,-0.02,-0.01
63,3.707035857195,3.707035857195,13.32756379577,2.433853454802601,-10785.51585958,-0.03,-0.01
64,3.6688189926693,3.6688189926693,13.32756379577,2.4333316335868,-10785.14911046,-0.04,-0.01
65,3.974553908675,3.974553908675,13.192941939179,2.4202688811544997,-10785.50828292,0.04,-0.02
66,3.9363370441493,3.9363370441493,13.192941939179,2.4174737483498,-10785.71250223,0.03,-0.02
67,3.8981201797236,3.8981201797236,13.192941939179,2.4140088835825004,-10785.85193296,0.02,-0.02
68,3.8599033151979,3.8599033151979,13.192941939179,2.4107078137076003,-10785.92775777,0.01,-0.02
69,3.7834695861464,3.7834695861464,13.192941939179,2.4062845150926995,-10785.84534133,-0.01,-0.02
70,3.7452527216207,3.7452527216207,13.192941939179,2.4051567856759997,-10785.66728424,-0.02,-0.02
71,3.707035857195,3.707035857195,13.192941939179,2.404012347194099,-10785.38999188,-0.03,-0.02
72,3.6688189926693,3.6688189926693,13.192941939179,2.4035613409045,-10784.9963726,-0.04,-0.02
73,3.974553908675,3.974553908675,13.058320082689,2.3879786232199,-10785.53503488,0.04,-0.03
74,3.9363370441493,3.9363370441493,13.058320082689,2.384455382931801,-10785.7087961,0.03,-0.03
75,3.8981201797236,3.8981201797236,13.058320082689,2.3815621704813,-10785.82724871,0.02,-0.03
76,3.8599033151979,3.8599033151979,13.058320082689,2.3790550998042006,-10785.87464566,0.01,-0.03
77,3.7834695861464,3.7834695861464,13.058320082689,2.3755262284154997,-10785.73830636,-0.01,-0.03
78,3.7452527216207,3.7452527216207,13.058320082689,2.3743759861592,-10785.53222417,-0.02,-0.03
79,3.707035857195,3.707035857195,13.058320082689,2.3736626554486007,-10785.22602687,-0.03,-0.03
80,3.6688189926693,3.6688189926693,13.058320082689,2.3734560260530992,-10784.80146368,-0.04,-0.03
81,3.974553908675,3.974553908675,12.923698226198,2.354349886724701,-10785.53156496,0.04,-0.04
82,3.9363370441493,3.9363370441493,12.923698226198,2.351489845397899,-10785.68372681,0.03,-0.04
83,3.8981201797236,3.8981201797236,12.923698226198,2.349068408868,-10785.77173535,0.02,-0.04
84,3.8599033151979,3.8599033151979,12.923698226198,2.3470772226719,-10785.79073197,0.01,-0.04
85,3.7834695861464,3.7834695861464,12.923698226198,2.3443499071272997,-10785.59529859,-0.01,-0.04
86,3.7452527216207,3.7452527216207,12.923698226198,2.3435063663952995,-10785.35700397,-0.02,-0.04
87,3.707035857195,3.707035857195,12.923698226198,2.3430612354884,-10785.0208689,-0.03,-0.04
88,3.6688189926693,3.6688189926693,12.923698226198,2.3429581417104997,-10784.5638123,-0.04,-0.04
