id :,str3 :,composition :,latc :,lata :,latb :,cu-o_a1 :,cu-o_a2 :,cu-o_a :,cu-o_p :
62608,T,La1.85Sr0.15CuO4,13.186,3.7966,3.7966,2.406,,2.406,1.8983
62958,T,La1.88Sr0.12CuO4,13.216,3.78,3.78,2.392,,2.392,1.89
63317,T,La1.85Sr0.15CuO4,13.225999999999999,3.7793,3.7793,2.412,,2.412,1.88965
65847,T,La1.8Sr0.2CuO4,13.2579,3.77409,3.77409,2.4090000000000003,,2.4090000000000003,1.887045
65849,T,La1.8Sr.2Cu.975Co.025O4,13.2386,3.77664,3.77664,2.4,,2.4,1.88832
65851,T,La1.8Sr.2Cu.9Co.1O4,13.1718,3.78493,3.78493,2.384,,2.384,1.892465
65873,T,La1.94Na.06CuO4,13.1871,3.7796,3.7796,2.4130000000000003,,2.4130000000000003,1.8898
68039,T,La1.85Sr0.15CuO4,13.225,3.787,3.787,2.412,,2.412,1.8935
75780,T,La1.945Rb0.055CuO4,13.2759,3.7858,3.7858,2.443,,2.443,1.8929
39456,Y123,Y0.98Ba1.98Cu2.91O6.47,11.662,3.83,3.888,2.31,,2.31,1.9295
39703,Y123,YBa2Cu2.91O6.58,11.734000000000002,3.867,3.867,2.362,,2.362,1.9335
44113,Y123,YBa2Cu3O6.98,11.696,3.82,3.886,2.296,,2.296,1.9265
50097,Y123,Y0.906Ca0.108Ba1.986Cu2.848O6.7,11.713,3.867,3.867,2.358,,2.358,1.9335
39359,Y123,YBa2Cu3O6.9,11.672,3.8826,3.821,2.2840000000000003,,2.2840000000000003,1.9259
62763,Y123,YBa2Cu3O6.72,11.707,3.83,3.886,2.35,,2.35,1.929
64643,Y123,YBa2Cu2.7Zn0.3O6.75,11.6618,3.843,3.887,2.309,,2.309,1.9325
65396,Y123,YBa2Cu3O7,11.6807,3.8179,3.8828,2.283,,2.283,1.925175
65861,Y123,YBa2Cu2.8Zn.2O6.935,11.6829,3.8214,3.892,2.281,,2.281,1.92835
66497,Y123,Y0.6Ca0.2Pr0.2Ba2Cu3O7,11.6932,3.8397,3.8898,2.319,,2.319,1.932375
