col_id :,str3 :,composition :,lata :,latb :,latc :,cu-o_a :,cu-o_p* :,d_la :,lata* :,cu-o_p :
86526,Hg1223,Ba2.0Ca2Cu3Hg0.591Pb0.4088O8.33,3.858,3.858,15.801,2.7293,1.9292500000000001,,3.858,1.929
84113,Hg1223,Ba2Ca2Cu3Hg0.62Pb0.38O8.46,3.84575,3.84575,15.8255,2.896,1.92365,,3.84575,1.922875
83077,Hg1223,Ba2Ca2Cu3Hg1O8.35,3.8529,3.8529,15.8513,2.8833,1.92685,,3.8529,1.92645
86538,Hg1223,Ba1.78Sr0.22Ca2Cu3Hg0.824O8.284,3.8523,3.8523,15.692,2.6753,1.92635,,3.8523,1.92615
92624,Hg1223,Sr2.2Pr1.8Cu3Hg0.29O9,3.8294,3.8567,15.2763,2.2257,1.92235,,3.84305,1.9147
75730,Hg1223,Ba2Ca2Cu3Hg1O8,3.846,3.846,15.773,2.7476,1.9231,,3.846,1.923
82058,Hg1223,Ba2Ca2Cu3Hg0.83O8.24,3.8553,3.8553,15.858,2.7592,1.92775,,3.8553,1.92765
84112,Hg1223,Ba2Ca2Cu3Hg1O8.35,3.8529,3.8529,15.8513,2.8833,1.92685,,3.8529,1.92645
89482,Hg1223,Sr2.26Ca1.74Cu3Hg0.7Bi0.3O8.91,3.815,3.815,15.255,2.2012,1.9093,,3.815,1.9075
86539,Hg1223,Ba2Ca2Cu3Hg0.737Pb0.2328O8.2332,3.8597,3.8597,15.806,2.7202,1.93005,,3.8597,1.92985
165058,Hg1223,Ba2Ca2Cu3Re0.16Hg0.72O8.7,3.85442,3.85442,15.6877,2.6496,1.92755,,3.85442,1.92721
80718,Hg1223,Ba2Ca2Cu3Hg1O8.5,3.85067,3.85067,15.7955,2.7057,1.92635,,3.85067,1.925335
87362,Hg1223,Ba2Ca2Tl0.2Cu3Hg0.8O8.05,3.86,3.86,15.8767,2.8133,1.93155,,3.86,1.93
82059,Hg1223,Ba2Ca2Cu3Hg0.87O8.28,3.8565,3.8565,15.862,2.7758,1.92845,,3.8565,1.92825
80720,Hg1223,Ba2Ca2Cu3Hg1O8.41,3.8501,3.8501,15.7837,2.7542,1.9252,,3.8501,1.92505
75731,Hg1223,Ba2Ca2Cu3Hg1O8,3.8453,3.8453,15.7713,2.7946,1.9229500000000002,,3.8453,1.92265
87235,Hg1223,Ba2Ca2Cu3Hg0.618Pb0.382O8.45,3.8457,3.8457,15.8252,2.888,1.9243999999999999,,3.8457,1.92285
87590,Hg1223,Ba2Ca2Cu3Hg0.83O8.24,3.8553,3.8553,15.858,2.7592,1.92775,,3.8553,1.92765
87287,Hg1223,Sr2Ca2Cu3Re0.32Hg0.68O8.9,3.8265,3.8265,15.2126,2.4051,1.91385,,3.8265,1.91325
75779,Hg1223,Ba2Ca2Cu3.18Hg0.82O8.26,3.842,3.842,15.832,2.8161,1.9228,,3.842,1.921
92622,Hg1223,Sr1.74Pr2.26Cu3Hg0.36O9.36,3.8464,3.8464,15.2615,2.1091,1.9232,,3.8464,1.9232
92623,Hg1223,Sr2.12Pr1.88Cu3Hg0.29O9.32,3.8294,3.8567,15.2763,2.2318,1.9216,,3.84305,1.9147
86537,Hg1223,Ba2Ca2Cu3Hg0.841O8.17,3.8592,3.8592,15.7812,2.7285,1.9297499999999999,,3.8592,1.9296
97102,Hg1223,Ba2Ca2Cu3Hg1O8.35,3.8529,3.8529,15.8513,2.8833,1.92685,,3.8529,1.92645
86536,Hg1223,Ba2Ca2Cu3Hg0.803O8.03,3.8577,3.8577,15.715,2.6971,1.929,,3.8577,1.92885
41652,Hg1223,Ba2Ca2Cu3Hg1O8.16,3.85159,3.85159,15.7644,2.7272,1.926,,3.85159,1.925795
83090,Hg1223,Ba2Ca2Cu3Hg0.69Au0.17O8.3,3.8464,3.8464,15.739,2.7826,1.9235,,3.8464,1.9232
85285,Hg1223,Ba2Ca2Cu3Re0.132Hg0.79O8.605,3.85268,3.85268,15.7355,2.7694,1.9263,,3.85268,1.92634
80719,Hg1223,Ba2Ca2Cu3Hg1O8.44,3.8502,3.8502,15.7829,2.7509,1.92515,,3.8502,1.9251
165059,Hg1223,Ba2Ca2Cu3Re0.184Hg0.75O8.796,3.8542,3.8542,15.6883,2.5336,1.9271,,3.8542,1.9271
79045,Hg1223,Ba2Ca2Tl0.4Cu3Hg0.6O8.33,3.8489,3.8489,15.816,2.8532,1.9245,,3.8489,1.92445
87363,Hg1223,Ba2Ca2Tl0.2Cu3Hg0.8O8.1,3.8507,3.8507,15.8457,2.5701,1.9261,,3.8507,1.92535
86527,Hg1223,Ba2Ca2Cu3Hg0.803O8.03,3.8577,3.8577,15.715,2.6971,1.929,,3.8577,1.92885
79048,Hg1223,Ba2Ca2Cu3Hg0.692O8.6,3.86521,3.86521,15.6486,2.8777,1.9334,,3.86521,1.932605
85287,Hg1223,Ba2Ca2Cu3Re0.22Hg0.68O8.982,3.85387,3.85387,15.7036,2.7606,1.9269500000000002,,3.85387,1.926935
85286,Hg1223,Ba2Ca2Cu3Re0.173Hg0.742O8.76,3.85181,3.85181,15.7105,2.7556,1.9259,,3.85181,1.925905
165060,Hg1223,Ba2Ca2Cu3Re0.187Hg0.765O8.848,3.8544,3.8544,15.6898,2.6719,1.9274,,3.8544,1.9272
87153,Tl1223,Sr2Ca1.86Tl0.64Cu3Pb0.5O9,3.8127,3.8127,15.263,2.2925,1.9084500000000002,,3.8127,1.90635
71372,Tl1223,Ba2Ca1.91Tl1.09Cu3O8.8,3.8512,3.8512,15.889,2.7807,1.926,,3.8512,1.9256
162931,Tl1223,Ba2Ca1.932Tl1.0672Cu3O8.775,3.84561,3.84561,15.8752,2.7462,1.9231500000000001,,3.84561,1.922805
74129,Tl1223,Ba0.72Sr1.28Ca1.84Tl1.16Cu3O9,3.8274,3.8274,15.524,2.4714,1.9148999999999998,,3.8274,1.9137
68270,Tl1223,Sr2Ca1.88Tl0.56Cu3Pb0.56O9,3.808,3.808,15.232,2.3716,1.90495,,3.808,1.904
79135,Tl1223,Sr1.6Ca2.4Tl0.5Cu3Pb0.3124O8.6516,3.81568,3.81568,15.29037,2.3531,1.90885,,3.81568,1.90784
162932,Tl1223,Ba2Ca1.934Tl1.066Cu3O8.776,3.84561,3.84561,15.8752,2.7462,1.9231500000000001,,3.84561,1.922805
87027,Tl1223,Rb0.065Ba2Ca1.842Tl1.0928Cu3O8.931,3.8519,3.8519,15.9001,2.827,1.92715,,3.8519,1.92595
162934,Tl1223,Ba2Ca2Tl0.903Cu3O8.751,3.84659,3.84659,15.8741,2.7636,1.9236499999999999,,3.84659,1.923295
83150,Tl1223,Ba0.602Sr1.106Ca2.24Tl0.552Cu3Pb0.5O9,3.82263,3.82263,15.4182,2.5039,1.9125999999999999,,3.82263,1.911315
94968,Tl1223,Ba2Ca1.86Tl1.12Cu3O9,3.8443,3.8443,15.863,2.6015,1.92605,,3.8443,1.92215
87024,Tl1223,Rb0.249Ba2Ca1.886Tl0.866Cu3O8.764,3.853,3.853,15.8997,2.8206,1.9269,,3.853,1.9265
83152,Tl1223,Ba0.212Sr1.586Ca2.142Tl0.66Cu3Bi0.2Pb0.2O9,3.81798,3.81798,15.3223,2.3764,1.90985,,3.81798,1.90899
87025,Tl1223,Rb0.315Ba2Ca1.84Tl0.8448Cu3O8.517,3.856,3.856,15.8822,2.7523,1.93025,,3.856,1.928
79134,Tl1223,Sr1.6Ca2.4Tl0.5Cu3Pb0.3228O8.6728,3.81517,3.81517,15.29136,2.3149,1.9092500000000001,,3.81517,1.907585
162933,Tl1223,Ba2Ca2Tl0.904Cu3O8.747,3.84659,3.84659,15.8741,2.7636,1.9236499999999999,,3.84659,1.923295
162936,Tl1223,Ba2Ca1.962Tl0.858Cu3O8.813,3.85344,3.85344,15.9035,2.7751,1.9273,,3.85344,1.92672
83149,Tl1223,Ba0.398Sr1.276Ca2.272Tl0.554Cu3Pb0.5O9,3.81863,3.81863,15.3511,2.4561,1.91065,,3.81863,1.909315
72257,Tl1223,Ba1Sr1Ca2Tl1Cu3O9,3.8316,3.8316,15.5926,2.5447,1.92095,,3.8316,1.9158
83148,Tl1223,Ba0.196Sr1.43Ca2.346Tl0.528Cu3Pb0.5O9,3.81445,3.81445,15.288,2.4093,1.9085,,3.81445,1.907225
71377,Tl1223,Ba2Ca1.938Tl1.064Cu3O8.79,3.8478,3.8478,15.86,2.7174,1.92435,,3.8478,1.9239
71374,Tl1223,Ba2Ca1.9Tl1.098Cu3O8.94,3.8536,3.8536,15.884,2.7628,1.9271500000000001,,3.8536,1.9268
83151,Tl1223,Ba0.22Sr1.606Ca2.114Tl0.56Cu3Pb0.5O9,3.81638,3.81638,15.3195,2.4465,1.90865,,3.81638,1.90819
71376,Tl1223,Ba2Ca1.94Tl1.058Cu3O8.69,3.85,3.85,15.876,2.682,1.9254,,3.85,1.925
65329,Tl1223,Ba2Ca1.93Tl1.07Cu2.862O9,3.8532,3.8532,15.9223,2.7625,1.92755,,3.8532,1.9266
87154,Tl1223,Ba0.2Sr1.42Ca2.36Tl0.52Cu3Pb0.5O9,3.8145,3.8145,15.288,2.4093,1.9085,,3.8145,1.90725
81153,Tl1223,Ba0.4Sr1.6Ca2Tl0.68Cu3Bi0.17O8.8,3.8211,3.8211,15.4235,2.3829,1.9121000000000001,,3.8211,1.91055
87362,Tl1223,Ba2Ca2Tl0.2Cu3Hg0.8O8.05,3.86,3.86,15.8767,2.8133,1.93155,,3.86,1.93
71371,Tl1223,Ba2Ca1.892Tl1.108Cu3O8.72,3.8498,3.8498,15.889,2.7858,1.9255,,3.8498,1.9249
83147,Tl1223,Sr2Ca1.864Tl0.636Cu3Pb0.5O9,3.81265,3.81265,15.263,2.2925,1.9084500000000002,,3.81265,1.906325
83175,Tl1223,Sr1.604Ca2.324Tl0.668Cu3Pb0.404O9,3.81516,3.81516,15.2798,2.3891,1.90815,,3.81516,1.90758
202689,Tl1223,Ba1.88Ca1.9Tl1.1Cu3O9,3.853,3.853,15.913,2.7274,1.9267500000000002,,3.853,1.9265
87155,Tl1223,Ba0.4Sr1.28Ca2.26Tl0.56Cu3Pb0.5O9,3.8186,3.8186,15.3511,2.4561,1.91065,,3.8186,1.9093
87026,Tl1223,Rb0.056Ba2Ca1.838Tl1.106Cu3O8.817,3.8549,3.8549,15.9022,2.8449,1.92865,,3.8549,1.92745
79045,Tl1223,Ba2Ca2Tl0.4Cu3Hg0.6O8.33,3.8489,3.8489,15.816,2.8532,1.9245,,3.8489,1.92445
87156,Tl1223,Ba0.6Sr1.1Ca2.24Tl0.56Cu3Pb0.5O9,3.8226,3.8226,15.4182,2.5039,1.9125999999999999,,3.8226,1.9113
87363,Tl1223,Ba2Ca2Tl0.2Cu3Hg0.8O8.1,3.8507,3.8507,15.8457,2.5701,1.9261,,3.8507,1.92535
71370,Tl1223,Ba2Ca1.904Tl1.096Cu3O8.62,3.8547,3.8547,15.918,2.7866,1.9278,,3.8547,1.92735
71373,Tl1223,Ba2Ca1.874Tl1.128Cu3O8.67,3.8505,3.8505,15.881,2.7337,1.9255499999999999,,3.8505,1.92525
162935,Tl1223,Ba2Ca1.958Tl0.862Cu3O8.81,3.85344,3.85344,15.9036,2.7751,1.9273,,3.85344,1.92672
71375,Tl1223,Ba2Ca1.922Tl1.076Cu3O8.61,3.8503,3.8503,15.875,2.786,1.9255499999999999,,3.8503,1.92515
