col_id :,str3 :,composition :,lata :,latb :,latc :,cu-o_a :,cu-o_p* :,d_la :,cu-o_p :,lata* :
74164,Tl1212,Sr2Y1Tl1Cu2O7,3.8160000000000003,3.8160000000000003,11.970999999999998,2.1188,1.9614,,1.9080000000000001,3.8160000000000003
82343,Tl1212,Ba2Pr1Tl0.94Cu2O6.93,3.91836,3.91836,12.5498,2.4547,1.9706,,1.95918,3.91836
75902,Tl1212,Sr2Pr1Tl0.864Cu2O6.75,3.8540400000000004,3.8540400000000004,12.1046,2.2284,1.9308,,1.9270200000000002,3.8540400000000004
75751,Tl1212,Sr2Pr1Tl0.899Cu2O6.77,3.85396,3.85396,12.1044,2.2538,1.9305,,1.92698,3.85396
74165,Tl1212,Sr2Ca1Tl1Cu2O7,3.783,3.783,12.065999999999999,2.0753,1.9281,,1.8915,3.783
72731,Tl1212,Sr1.768Ca0.502Yb0.696Tl1Cu2O7.174,3.795,3.795,12.023,2.1773,1.9077,,1.8975,3.795
39670,Tl1212,Ba2La1Tl1Cu2O7,3.944,3.944,12.607000000000001,2.451,1.9799,,1.972,3.944
65859,Tl1212,Sr2Ca0.91Tl0.59Cu2Pb0.5O7,3.795,3.795,12.094000000000001,2.0559,1.8975,,1.8975,3.795
75745,Tl1212,Ba2Pr1Tl0.936Cu2O7,3.9183,3.9183,12.5473,2.4266,1.9754,,1.95915,3.9183
74166,Tl1212,Sr2Ca1Tl0.5Cu2Pb0.5O7,3.785,3.785,12.059000000000001,2.0259,1.9267,,1.8925,3.785
75749,Tl1212,Ba0.8Sr1.2Pr1Tl0.938Cu2O6.9,3.88199,3.88199,12.2737,2.3381,1.9462,,1.940995,3.88199
74274,Tl1212,Sr2.41Nd0.58Tl1Cu2O7,3.842,3.842,12.129000000000001,2.1832,1.9295,,1.921,3.842
75746,Tl1212,Ba1.6Sr0.4Pr1Tl0.9Cu2O6.64,3.90741,3.90741,12.4874,2.4412,1.9649,,1.953705,3.90741
83811,Tl1212,Sr2Ca0.48Pr0.52Tl0.94Cu2O6.96,3.8262,3.8262,12.1262,2.2833,1.9180000000000001,,1.9131,3.8262
75748,Tl1212,Ba1Sr1Pr1Tl0.937Cu2O6.67,3.8887,3.8887,12.3084,2.3472,1.9516,,1.94435,3.8887
74168,Tl1212,Sr2Ca0.8Y0.2Tl0.4Cu2Sn0.2Pb0.4O7,3.795,3.795,12.008,2.1254,1.9269999999999998,,1.8975,3.795
72585,Tl1212,Sr2Nd1Tl1Cu2O7,3.8503,3.8503,12.0724,2.1983,1.9275,,1.92515,3.8503
69921,Tl1212,Ba2Nd1Tl0.96Cu2O6.96,3.9102099999999997,3.9102099999999997,12.4916,2.4619999999999997,1.9643,,1.9551049999999999,3.9102099999999997
74275,Tl1212,Sr2.29Pr0.674Tl1Cu2O7,3.8560000000000003,3.8560000000000003,12.196,2.1952,1.9304,,1.9280000000000002,3.8560000000000003
74167,Tl1212,Sr2Ca0.8Y0.2Tl0.5Cu2Pb0.5O7,3.803,3.803,12.01,2.0537,1.9289,,1.9015,3.803
72586,Tl1212,Ba1Sr1Y1Tl1Cu2O7,3.8421,3.8421,12.2064,2.2557,1.9495,,1.92105,3.8421
72584,Tl1212,Ba1Sr1Nd1Tl1Cu2O7,3.8798,3.8798,12.2573,2.2908,1.9487,,1.9399,3.8798
