,col_id :,str3 :,lata :,latb :,latc :,cu-o_a :,cu-o_p :,d_la :
0,86526.0,Hg1223,3.858,3.858,15.801,2.7293,1.9292500000000001,
1,87285.0,Hg1223,3.8197,3.8252,15.1709,2.4364,1.9126,
2,84113.0,Hg1223,3.84575,3.84575,15.8255,2.896,1.92365,
3,83077.0,Hg1223,3.8529,3.8529,15.8513,2.8833,1.92685,
4,86538.0,Hg1223,3.8523,3.8523,15.692,2.6753,1.92635,
5,92624.0,Hg1223,3.8294,3.8567,15.2763,2.2257,1.92235,
6,75730.0,Hg1223,3.846,3.846,15.773,2.7476,1.9231,
7,82058.0,Hg1223,3.8553,3.8553,15.858,2.7592,1.92775,
8,84112.0,Hg1223,3.8529,3.8529,15.8513,2.8833,1.92685,
9,89482.0,Hg1223,3.815,3.815,15.255,2.2012,1.9093,
10,86539.0,Hg1223,3.8597,3.8597,15.806,2.7202,1.93005,
11,165058.0,Hg1223,3.85442,3.85442,15.6877,2.6496,1.92755,
12,80718.0,Hg1223,3.85067,3.85067,15.7955,2.7057,1.92635,
13,87362.0,Hg1223,3.86,3.86,15.8767,2.8133,1.93155,
14,82059.0,Hg1223,3.8565,3.8565,15.862,2.7758,1.92845,
15,80720.0,Hg1223,3.8501,3.8501,15.7837,2.7542,1.9252,
16,75731.0,Hg1223,3.8453,3.8453,15.7713,2.7946,1.9229500000000002,
17,87235.0,Hg1223,3.8457,3.8457,15.8252,2.888,1.9243999999999999,
18,87590.0,Hg1223,3.8553,3.8553,15.858,2.7592,1.92775,
19,87287.0,Hg1223,3.8265,3.8265,15.2126,2.4051,1.91385,
20,75779.0,Hg1223,3.842,3.842,15.832,2.8161,1.9228,
21,78617.0,Hg1223,3.851,3.851,15.83,2.4895666666666667,1.9255,
22,92622.0,Hg1223,3.8464,3.8464,15.2615,2.1091,1.9232,
23,50262.0,Hg1223,3.858,3.858,15.84,2.488566666666667,1.929,
24,92623.0,Hg1223,3.8294,3.8567,15.2763,2.2318,1.9216,
25,86537.0,Hg1223,3.8592,3.8592,15.7812,2.7285,1.9297499999999999,
26,97102.0,Hg1223,3.8529,3.8529,15.8513,2.8833,1.92685,
27,86536.0,Hg1223,3.8577,3.8577,15.715,2.6971,1.929,
28,41652.0,Hg1223,3.85159,3.85159,15.7644,2.7272,1.926,
29,83090.0,Hg1223,3.8464,3.8464,15.739,2.7826,1.9235,
30,85285.0,Hg1223,3.85268,3.85268,15.7355,2.7694,1.9263,
31,80719.0,Hg1223,3.8502,3.8502,15.7829,2.7509,1.92515,
32,165059.0,Hg1223,3.8542,3.8542,15.6883,2.5336,1.9271,
33,79045.0,Hg1223,3.8489,3.8489,15.816,2.8532,1.9245,
34,87363.0,Hg1223,3.8507,3.8507,15.8457,2.5701,1.9261,
35,86527.0,Hg1223,3.8577,3.8577,15.715,2.6971,1.929,
36,79048.0,Hg1223,3.86521,3.86521,15.6486,2.8777,1.9334,
37,85287.0,Hg1223,3.85387,3.85387,15.7036,2.7606,1.9269500000000002,
38,85286.0,Hg1223,3.85181,3.85181,15.7105,2.7556,1.9259,
39,165060.0,Hg1223,3.8544,3.8544,15.6898,2.6719,1.9274,
40,92017.0,Hg1223,3.831,3.831,15.43,2.3888666666666665,1.9165,
41,71342.0,Tl1223,3.85,3.85,15.695,2.5196249999999996,1.9335499999999999,
42,87153.0,Tl1223,3.8127,3.8127,15.263,2.2925,1.9084500000000002,
43,71341.0,Tl1223,3.85,3.85,15.672,2.2975000000000003,1.925,
44,71372.0,Tl1223,3.8512,3.8512,15.889,2.7807,1.926,
45,162931.0,Tl1223,3.84561,3.84561,15.8752,2.7462,1.9231500000000001,
46,74129.0,Tl1223,3.8274,3.8274,15.524,2.4714,1.9148999999999998,
47,68270.0,Tl1223,3.808,3.808,15.232,2.3716,1.90495,
48,79135.0,Tl1223,3.81568,3.81568,15.29037,2.3531,1.90885,
49,162932.0,Tl1223,3.84561,3.84561,15.8752,2.7462,1.9231500000000001,
50,87027.0,Tl1223,3.8519,3.8519,15.9001,2.827,1.92715,
51,162934.0,Tl1223,3.84659,3.84659,15.8741,2.7636,1.9236499999999999,
52,83150.0,Tl1223,3.82263,3.82263,15.4182,2.5039,1.9125999999999999,
53,94968.0,Tl1223,3.8443,3.8443,15.863,2.6015,1.92605,
54,87024.0,Tl1223,3.853,3.853,15.8997,2.8206,1.9269,
55,83152.0,Tl1223,3.81798,3.81798,15.3223,2.3764,1.90985,
