num :,composition :,str3 :,tc :,lata :,latb :,latc :,refno :,lata ,lata* :,layers :,types :,cu-o_a :,cid :,cu-o_p :
21,Y1.0Ba1.5Ca0.5Cu3.0O7.0,Y123,82.0,3.762,3.894,11.697,SSC0721203,3.8280000000000003,3.762,Two,RE,2.2784152672100113,,1.881
37,La1.9Sr0.1Cu1.0O4.0,T,30.0,3.786,,13.220999999999998,CL19870547,3.786,3.786,One,RE,2.4072439211338015,,1.893
38,La1.775Sr0.225Cu1.0O4.0,T,35.5,3.771,,13.254,CL19870547,3.771,3.771,One,RE,2.4190444252484222,,1.8855
39,La1.75Sr0.25Cu1.0O4.0,T,23.3,3.774,,13.267,CL19870547,3.774,3.774,One,RE,2.4216083011567995,,1.887
40,La1.7Sr0.3Cu1.0O4.0,T,18.2,3.774,,13.246,CL19870547,3.774,3.774,One,RE,2.416332611801834,,1.887
41,La1.65Sr0.35Cu1.0O4.0,T,18.3,3.771,,13.258,CL19870547,3.771,3.771,One,RE,2.420049318458892,,1.8855
42,La1.6Sr0.4Cu1.0O4.0,T,18.3,3.769,,13.257,CL19870547,3.769,3.769,One,RE,2.4202661131733736,,1.8845
43,La1.825Sr0.175Cu1.0O4.0,T,37.5,3.778,,13.243,CL19870547,3.778,3.778,One,RE,2.4146429058597825,,1.889
93,La1.85Sr0.15Cu1.0O4.0,T,35.5,3.782,,13.229000000000001,CL19870547,3.782,3.782,One,RE,2.4101897435889406,,1.891
122,Y1.0Ba2.0Cu2.97Fe0.03O7.0,Y123,82.0,3.822,3.891,11.67,PRB0363923,3.8565,3.822,Two,RE,2.3020059088877005,,1.911
125,Y1.0Ba2.0Cu3.0O7.0,Y123,90.0,3.822,3.891,11.67,PRB0363923,3.8565,3.822,Two,RE,2.3020059088877005,,1.911
126,Y1.0Ba2.0Cu3.0S1.0O6.0,Y123,90.0,3.855,3.9189999999999996,11.75,PRB0363923,3.887,3.855,Two,RE,2.388917574826811,,1.9275
128,Y1.0Ba2.0Cu3.0O7.0,Y123,92.0,3.821,3.885,11.675999999999998,PRB0363920,3.853,3.821,Two,RE,2.305939028967005,,1.9105
142,Y1.0Ba2.0Cu3.0O7.0,Y123,88.8,3.83,3.89,11.71,PRL0591160,3.86,3.83,Two,RE,2.3391380968609727,,1.915
155,Y1.0Ba2.0Cu3.0O7.0,Y123,90.0,3.8169999999999997,3.883,11.633,SSC0631149,3.85,3.8169999999999997,Two,RE,2.269444134776082,,1.9084999999999999
180,Y1.0Ba2.0Cu3.0O7.0,Y123,91.6,3.824,3.887,11.657,PRB0368393,3.8555,3.824,Two,RE,2.29336015567673,,1.912
183,Y1.0Ba2.0Cu2.75Ni0.25O7.0,Y123,63.9,3.819,3.886,11.657,PRB0368393,3.8525,3.819,Two,RE,2.2896403645024463,,1.9095
184,Y1.0Ba2.0Cu3.0O7.0,Y123,92.0,3.8510000000000004,3.8510000000000004,11.672,PRB0368365,3.8510000000000004,3.8510000000000004,Two,RE,2.325139723803277,,1.9255000000000002
185,Y1.0Ba2.0Cu2.95Al0.05O7.0,Y123,88.0,3.835,3.884,11.687999999999999,PRB0368365,3.8595,3.835,Two,RE,2.3257086008833276,,1.9175
186,Y1.0Ba2.0Cu2.9Al0.1O7.0,Y123,75.0,3.844,3.895,11.657,PRB0368365,3.8695,3.844,Two,RE,2.30823932037387,,1.922
187,La1.85Sr0.15Cu1.0O4.0,T,39.3,3.7769999999999997,,13.225999999999999,PRB0368393,3.7769999999999997,3.7769999999999997,One,RE,2.410606118723836,,1.8884999999999998
188,La1.85Sr0.15Cu0.975Ni0.025O4.0,T,22.6,3.775,,13.222000000000001,PRB0368393,3.775,3.775,One,RE,2.4100692435304665,,1.8875
193,Y1.0Ba2.0Cu2.89Al0.11O7.0,Y123,82.0,3.847,3.8510000000000004,11.659,PRB0368365,3.8489999999999998,3.847,Two,RE,2.3120302211831625,,1.9235
194,Y1.0Ba2.0Cu2.88Al0.12O7.0,Y123,51.0,3.855,3.859,11.684000000000001,PRB0368365,3.8569999999999998,3.855,Two,RE,2.3374697133710285,,1.9275
195,Y1.0Ba2.0Cu2.87Al0.13O7.0,Y123,45.0,3.843,3.859,11.667,PRB0368365,3.8510000000000004,3.843,Two,RE,2.3152904926626174,,1.9215
196,Y1.0Ba2.0Cu2.865Al0.135O7.0,Y123,45.0,3.8560000000000003,3.86,11.674000000000001,PRB0368365,3.858,3.8560000000000003,Two,RE,2.330418541082281,,1.9280000000000002
197,Y1.0Ba2.0Cu2.82Al0.18O7.0,Y123,20.0,3.8539999999999996,3.8560000000000003,11.668,PRB0368365,3.855,3.8539999999999996,Two,RE,2.3242535462984044,,1.9269999999999998
208,Eu1.0Ba2.0Cu3.0O7.1,RE123,94.9,3.845,3.9010000000000002,11.704,PRB0360226,3.873,3.845,Two,RE,2.2985606935456873,,1.9225
209,Gd1.0Ba2.0Cu3.0O7.08,RE123,93.8,3.84,3.8989999999999996,11.703,PRB0360226,3.8695,3.84,Two,RE,2.303217507397543,,1.92
210,Dy1.0Ba2.0Cu3.0O6.82,RE123,92.7,3.8280000000000003,3.889,11.668,PRB0360226,3.8585,3.8280000000000003,Two,RE,2.294663232278819,,1.9140000000000001
211,Ho1.0Ba2.0Cu3.0O6.71,RE123,92.9,3.822,3.888,11.67,PRB0360226,3.855,3.822,Two,RE,2.302188157697433,,1.911
222,Er1.0Ba2.0Cu3.0O6.82,RE123,92.4,3.815,3.885,11.659,PRB0360226,3.85,3.815,Two,RE,2.302897450700876,,1.9075
223,Tm1.0Ba2.0Cu3.0O6.65,RE123,92.5,3.81,3.8819999999999997,11.655999999999999,PRB0360226,3.846,3.81,Two,RE,2.306343796554989,,1.905
224,Yb1.0Ba2.0Cu3.0O6.71,RE123,87.0,3.799,3.873,11.65,PRB0360226,3.836,3.799,Two,RE,2.3142888978333667,,1.8995
226,Y1.0Ba2.0Cu3.0O6.72,Y123,93.4,3.824,3.887,11.657,PRB0360226,3.8555,3.824,Two,RE,2.29336015567673,,1.912
