num :,composition :,str3 :,tc :,lata :,latb :,latc :,refno :,lata ,layers :,cu-o_a :,cu-o_p :
21,Y1.0Ba1.5Ca0.5Cu3.0O7.0,Y123,82.0,3.762,3.894,11.697,SSC0721203,3.8280000000000003,Two,2.3221026277640107,1.881
37,La1.9Sr0.1Cu1.0O4.0,T,30.0,3.786,,13.220999999999998,CL19870547,3.786,One,2.408053831479226,1.893
38,La1.775Sr0.225Cu1.0O4.0,T,35.5,3.771,,13.254,CL19870547,3.771,One,2.4184767994217995,1.8855
39,La1.75Sr0.25Cu1.0O4.0,T,23.3,3.774,,13.267,CL19870547,3.774,One,2.422582817096146,1.887
40,La1.7Sr0.3Cu1.0O4.0,T,18.2,3.774,,13.246,CL19870547,3.774,One,2.415950019314509,1.887
41,La1.65Sr0.35Cu1.0O4.0,T,18.3,3.771,,13.258,CL19870547,3.771,One,2.4197401894754447,1.8855
42,La1.6Sr0.4Cu1.0O4.0,T,18.3,3.769,,13.257,CL19870547,3.769,One,2.419424341962033,1.8845
43,La1.825Sr0.175Cu1.0O4.0,T,37.5,3.778,,13.243,CL19870547,3.778,One,2.4150024767742755,1.889
93,La1.85Sr0.15Cu1.0O4.0,T,35.5,3.782,,13.229000000000001,CL19870547,3.782,One,2.4105806115865174,1.891
122,Y1.0Ba2.0Cu2.97Fe0.03O7.0,Y123,82.0,3.822,3.891,11.67,PRB0363923,3.8565,Two,2.294451151558029,1.911
125,Y1.0Ba2.0Cu3.0O7.0,Y123,90.0,3.822,3.891,11.67,PRB0363923,3.8565,Two,2.294451151558029,1.911
126,Y1.0Ba2.0Cu3.0S1.0O6.0,Y123,90.0,3.855,3.9189999999999996,11.75,PRB0363923,3.887,Two,2.376381451427607,1.9275
128,Y1.0Ba2.0Cu3.0O7.0,Y123,92.0,3.821,3.885,11.675999999999998,PRB0363920,3.853,Two,2.300595924048246,1.9105
142,Y1.0Ba2.0Cu3.0O7.0,Y123,88.8,3.83,3.89,11.71,PRL0591160,3.86,Two,2.3354163014928186,1.915
155,Y1.0Ba2.0Cu3.0O7.0,Y123,90.0,3.8169999999999997,3.883,11.633,SSC0631149,3.85,Two,2.256558387868348,1.9084999999999999
180,Y1.0Ba2.0Cu3.0O7.0,Y123,91.6,3.824,3.887,11.657,PRB0368393,3.8555,Two,2.2811374778292226,1.912
183,Y1.0Ba2.0Cu2.75Ni0.25O7.0,Y123,63.9,3.819,3.886,11.657,PRB0368393,3.8525,Two,2.2811374778292226,1.9095
184,Y1.0Ba2.0Cu3.0O7.0,Y123,92.0,3.8510000000000004,3.8510000000000004,11.672,PRB0368365,3.8510000000000004,Two,2.296499409054769,1.9255000000000002
185,Y1.0Ba2.0Cu2.95Al0.05O7.0,Y123,88.0,3.835,3.884,11.687999999999999,PRB0368365,3.8595,Two,2.3128854690286826,1.9175
186,Y1.0Ba2.0Cu2.9Al0.1O7.0,Y123,75.0,3.844,3.895,11.657,PRB0368365,3.8695,Two,2.2811374778292226,1.922
187,La1.85Sr0.15Cu1.0O4.0,T,39.3,3.7769999999999997,,13.225999999999999,PRB0368393,3.7769999999999997,One,2.409633069046283,1.8884999999999998
188,La1.85Sr0.15Cu0.975Ni0.025O4.0,T,22.6,3.775,,13.222000000000001,PRB0368393,3.775,One,2.4083696789926385,1.8875
193,Y1.0Ba2.0Cu2.89Al0.11O7.0,Y123,82.0,3.847,3.8510000000000004,11.659,PRB0368365,3.8489999999999998,Two,2.283185735325963,1.9235
194,Y1.0Ba2.0Cu2.88Al0.12O7.0,Y123,51.0,3.855,3.859,11.684000000000001,PRB0368365,3.8569999999999998,Two,2.3087889540352062,1.9275
195,Y1.0Ba2.0Cu2.87Al0.13O7.0,Y123,45.0,3.843,3.859,11.667,PRB0368365,3.8510000000000004,Two,2.2913787653129196,1.9215
196,Y1.0Ba2.0Cu2.865Al0.135O7.0,Y123,45.0,3.8560000000000003,3.86,11.674000000000001,PRB0368365,3.858,Two,2.298547666551509,1.9280000000000002
197,Y1.0Ba2.0Cu2.82Al0.18O7.0,Y123,20.0,3.8539999999999996,3.8560000000000003,11.668,PRB0368365,3.855,Two,2.2924028940612886,1.9269999999999998
208,Eu1.0Ba2.0Cu3.0O7.1,RE123,94.9,3.845,3.9010000000000002,11.704,PRB0360226,3.873,Two,2.278627185295624,1.9225
209,Gd1.0Ba2.0Cu3.0O7.08,RE123,93.8,3.84,3.8989999999999996,11.703,PRB0360226,3.8695,Two,2.2795120344736053,1.92
210,Dy1.0Ba2.0Cu3.0O6.82,RE123,92.7,3.8280000000000003,3.889,11.668,PRB0360226,3.8585,Two,2.3104817557029103,1.9140000000000001
211,Ho1.0Ba2.0Cu3.0O6.71,RE123,92.9,3.822,3.888,11.67,PRB0360226,3.855,Two,2.3087120573469493,1.911
222,Er1.0Ba2.0Cu3.0O6.82,RE123,92.4,3.815,3.885,11.659,PRB0360226,3.85,Two,2.31844539830473,1.9075
223,Tm1.0Ba2.0Cu3.0O6.65,RE123,92.5,3.81,3.8819999999999997,11.655999999999999,PRB0360226,3.846,Two,2.3210999458386725,1.905
224,Yb1.0Ba2.0Cu3.0O6.71,RE123,87.0,3.799,3.873,11.65,PRB0360226,3.836,Two,2.326409040906552,1.8995
226,Y1.0Ba2.0Cu3.0O6.72,Y123,93.4,3.824,3.887,11.657,PRB0360226,3.8555,Two,2.2811374778292226,1.912
228,Nd1.0Ba2.0Cu3.0O7.16,RE123,95.3,3.855,3.9139999999999997,11.735999999999999,PRB0360226,3.8845,Two,2.2503120116002613,1.9275
229,Sm1.0Ba2.0Cu3.0O7.11,RE123,93.5,3.855,3.8989999999999996,11.720999999999998,PRB0360226,3.877,Two,2.2635847492699637,1.9275
233,Y1.0Ba2.01Cu2.81Ni0.19O6.7,Y123,65.0,3.819,3.888,11.661,SSC0650585,3.8535,Two,2.2852339928227012,1.9095
234,Y1.0Ba2.02Cu2.18Zn0.82O7.0,Y123,30.0,3.8289999999999997,3.887,11.67,SSC0650585,3.858,Two,2.294451151558029,1.9144999999999999
235,Y1.0Ba1.99Cu2.847Ag0.153O6.7,Y123,86.0,3.827,3.8930000000000002,11.683,SSC0650585,3.86,Two,2.307764825286835,1.9135
236,Y1.0Ba2.0Cu2.902Pt0.098O6.4,Y123,81.0,3.82,3.886,11.675,SSC0650585,3.853,Two,2.299571795299878,1.91
237,Y1.0Ba2.01Cu2.7Co0.3O6.8,Y123,36.0,3.8710000000000004,,11.664000000000001,SSC0650585,3.8710000000000004,Two,2.288306379067812,1.9355000000000002
239,Y1.01Ba2.01Cu2.906Ni0.094O6.7,Y123,71.0,3.819,3.886,11.662,SSC0650585,3.8525,Two,2.286258121571072,1.9095
240,Y1.0Ba2.0Cu2.697Mn0.303O6.9,Y123,63.0,3.8280000000000003,3.889,11.673,SSC0650585,3.8585,Two,2.297523537803138,1.9140000000000001
241,Y1.0Ba2.0Cu2.844Fe0.156O7.0,Y123,57.0,3.863,,11.665,SSC0650585,3.863,Two,2.2893305078161794,1.9315
