num :,composition :,str3 :,tc :,lata :,latb :,latc :,refno :,author :,title :,journal :,year :,lata* :
21,Y1.0Ba1.5Ca0.5Cu3.0O7.0,Y123,82.0,3.762,3.894,11.697,SSC0721203,"G. J. BALDHA, H. H. JOSHI, K. V. RAO, R. G. KULKARNI, S. M. JOSHI, V. SKUMRYEV,",MAGNETIC PROPERTIES OF YBA1.5CA0.5CU3-O7-Z SUPERCONDUCTOR,SOLID STATE COMMUN.72(1989)1203,1989.0,3.762
37,La1.9Sr0.1Cu1.0O4.0,T,30.0,3.786,,13.220999999999998,CL19870547,"S.Kanbe, K.Kishio, K.Kitazawa, K.Fueki, H.Takagi, S.Tanaka,",Superconductivity and lattice parameters in (La1-xSrx)2CuO4-d solid solution system,"Chem.Lett., No.3 (1987)547-550",1987.0,3.786
38,La1.775Sr0.225Cu1.0O4.0,T,35.5,3.771,,13.254,CL19870547,"S.Kanbe, K.Kishio, K.Kitazawa, K.Fueki, H.Takagi, S.Tanaka,",Superconductivity and lattice parameters in (La1-xSrx)2CuO4-d solid solution system,"Chem.Lett., No.3 (1987)547-550",1987.0,3.771
39,La1.75Sr0.25Cu1.0O4.0,T,23.3,3.774,,13.267,CL19870547,"S.Kanbe, K.Kishio, K.Kitazawa, K.Fueki, H.Takagi, S.Tanaka,",Superconductivity and lattice parameters in (La1-xSrx)2CuO4-d solid solution system,"Chem.Lett., No.3 (1987)547-550",1987.0,3.774
40,La1.7Sr0.3Cu1.0O4.0,T,18.2,3.774,,13.246,CL19870547,"S.Kanbe, K.Kishio, K.Kitazawa, K.Fueki, H.Takagi, S.Tanaka,",Superconductivity and lattice parameters in (La1-xSrx)2CuO4-d solid solution system,"Chem.Lett., No.3 (1987)547-550",1987.0,3.774
41,La1.65Sr0.35Cu1.0O4.0,T,18.3,3.771,,13.258,CL19870547,"S.Kanbe, K.Kishio, K.Kitazawa, K.Fueki, H.Takagi, S.Tanaka,",Superconductivity and lattice parameters in (La1-xSrx)2CuO4-d solid solution system,"Chem.Lett., No.3 (1987)547-550",1987.0,3.771
42,La1.6Sr0.4Cu1.0O4.0,T,18.3,3.769,,13.257,CL19870547,"S.Kanbe, K.Kishio, K.Kitazawa, K.Fueki, H.Takagi, S.Tanaka,",Superconductivity and lattice parameters in (La1-xSrx)2CuO4-d solid solution system,"Chem.Lett., No.3 (1987)547-550",1987.0,3.769
43,La1.825Sr0.175Cu1.0O4.0,T,37.5,3.778,,13.243,CL19870547,"S.Kanbe, K.Kishio, K.Kitazawa, K.Fueki, H.Takagi, S.Tanaka,",Superconductivity and lattice parameters in (La1-xSrx)2CuO4-d solid solution system,"Chem.Lett., No.3 (1987)547-550",1987.0,3.778
93,La1.85Sr0.15Cu1.0O4.0,T,35.5,3.782,,13.229000000000001,CL19870547,"S.Kanbe, K.Kishio, K.Kitazawa, K.Fueki, H.Takagi, S.Tanaka,",Superconductivity and lattice parameters in (La1-xSrx)2CuO4-d solid solution system,"Chem.Lett., No.3 (1987)547-550",1987.0,3.782
122,Y1.0Ba2.0Cu2.97Fe0.03O7.0,Y123,82.0,3.822,3.891,11.67,PRB0363923,"I.FELNER, I.NOWIK, Y.YESHURUN,",EFFECTS OF SUBSTITUTION OF O BY S AND CU BY FE ON SUPERCONDUCTIVITY IN Y(1)BA(2)CU(3)O(7),"PHYS.REV.B,36(1987)3923",1987.0,3.822
125,Y1.0Ba2.0Cu3.0O7.0,Y123,90.0,3.822,3.891,11.67,PRB0363923,"I.FELNER, I.NOWIK, Y.YESHURUN,",EFFECTS OF SUBSTITUTION OF O BY S AND CU BY FE ON SUPERCONDUCTIVITY IN Y(1)BA(2)CU(3)O(7),"PHYS.REV.B,36(1987)3923",1987.0,3.822
126,Y1.0Ba2.0Cu3.0S1.0O6.0,Y123,90.0,3.855,3.9189999999999996,11.75,PRB0363923,"I.FELNER, I.NOWIK, Y.YESHURUN,",EFFECTS OF SUBSTITUTION OF O BY S AND CU BY FE ON SUPERCONDUCTIVITY IN Y(1)BA(2)CU(3)O(7),"PHYS.REV.B,36(1987)3923",1987.0,3.855
128,Y1.0Ba2.0Cu3.0O7.0,Y123,92.0,3.821,3.885,11.675999999999998,PRB0363920,"B. Domenges, B. Raveau, C. Michel, G. Heger, J. Provost, M. Hervieu,",Twins and oriented domains in the orthorhombic superconductor YBa2Cu3O7+-e,"Phys.Rev.B.,36(1987)3920",1987.0,3.821
142,Y1.0Ba2.0Cu3.0O7.0,Y123,88.8,3.83,3.89,11.71,PRL0591160,"T.K.WORTHINGTON, T.R.DINGER, W.J.GALLAGHER,",ANISOTROPIC NATURE OF HIGH-TEMPERATURE SUPERCONDUCTIVITY IN SINGLE-CRYSTAL Y(1)BA(2)CU(3)O(7-X),"PHYS.REV.LETT.,59(1987)1160",1987.0,3.83
155,Y1.0Ba2.0Cu3.0O7.0,Y123,90.0,3.8169999999999997,3.883,11.633,SSC0631149,"E.WALKER, J.-L.JORDA, K.YVON, M.FRANCOIS, P.FISHER,",STRUCTURE OF THE HIGH-TEMPERATURE SUPERCONDUCTOR BA(2)Y(1)CU(3)O(7) BY X-RAY AND NEUTRON POWDER DIFFRACTION,"SOLID STATE COMMUN.,63(1987)1149",1987.0,3.8169999999999997
