num :,composition :,str3 :,tc :,lata :,latb :,latc :,refno :,author :,title :,journal :,year :
2,Ba0.2La1.8Cu1.0O4.0,T,29.0,,,,JJP0260223,"Y.Saito, T.Noji, A.Endo, N.Matsuzaki, M.Katsumata,","Composition dependence of the high temperature superconductivity in (Ba,Sr)-La-(Hg,Ag)-Cu-O system with K2NiF4-type structure","Jpn.J.Appl.Phys., 26(1987)L223",1987.0
3,Ba0.1La1.9Ag0.1Cu0.9O4.0,T,26.0,,,,JJP0260223,"Y.Saito, T.Noji, A.Endo, N.Matsuzaki, M.Katsumata,","Composition dependence of the high temperature superconductivity in (Ba,Sr)-La-(Hg,Ag)-Cu-O system with K2NiF4-type structure","Jpn.J.Appl.Phys., 26(1987)L223",1987.0
4,Ba0.1La1.9Cu1.0O4.0,T,19.0,,,,JJP0260223,"Y.Saito, T.Noji, A.Endo, N.Matsuzaki, M.Katsumata,","Composition dependence of the high temperature superconductivity in (Ba,Sr)-La-(Hg,Ag)-Cu-O system with K2NiF4-type structure","Jpn.J.Appl.Phys., 26(1987)L223",1987.0
5,Ba0.15La1.85Cu1.0O4.0,T,22.0,,,,JJP0260223,"Y.Saito, T.Noji, A.Endo, N.Matsuzaki, M.Katsumata,","Composition dependence of the high temperature superconductivity in (Ba,Sr)-La-(Hg,Ag)-Cu-O system with K2NiF4-type structure","Jpn.J.Appl.Phys., 26(1987)L223",1987.0
6,Ba0.3La1.7Cu1.0O4.0,T,23.0,,,,JJP0260223,"Y.Saito, T.Noji, A.Endo, N.Matsuzaki, M.Katsumata,","Composition dependence of the high temperature superconductivity in (Ba,Sr)-La-(Hg,Ag)-Cu-O system with K2NiF4-type structure","Jpn.J.Appl.Phys., 26(1987)L223",1987.0
7,Ba0.5La1.5Cu1.0O4.0,T,23.0,,,,JJP0260223,"Y.Saito, T.Noji, A.Endo, N.Matsuzaki, M.Katsumata,","Composition dependence of the high temperature superconductivity in (Ba,Sr)-La-(Hg,Ag)-Cu-O system with K2NiF4-type structure","Jpn.J.Appl.Phys., 26(1987)L223",1987.0
8,Ba1.0La1.0Cu1.0O4.0,T,11.0,,,,JJP0260223,"Y.Saito, T.Noji, A.Endo, N.Matsuzaki, M.Katsumata,","Composition dependence of the high temperature superconductivity in (Ba,Sr)-La-(Hg,Ag)-Cu-O system with K2NiF4-type structure","Jpn.J.Appl.Phys., 26(1987)L223",1987.0
11,Sr0.1La1.9Cu1.0O4.0,T,33.0,,,,JJP0260223,"Y.Saito, T.Noji, A.Endo, N.Matsuzaki, M.Katsumata,","Composition dependence of the high temperature superconductivity in (Ba,Sr)-La-(Hg,Ag)-Cu-O system with K2NiF4-type structure","Jpn.J.Appl.Phys., 26(1987)L223",1987.0
12,Sr0.15La1.85Cu1.0O4.0,T,36.0,,,,JJP0260223,"Y.Saito, T.Noji, A.Endo, N.Matsuzaki, M.Katsumata,","Composition dependence of the high temperature superconductivity in (Ba,Sr)-La-(Hg,Ag)-Cu-O system with K2NiF4-type structure","Jpn.J.Appl.Phys., 26(1987)L223",1987.0
13,Sr0.2La1.8Cu1.0O4.0,T,31.0,,,,JJP0260223,"Y.Saito, T.Noji, A.Endo, N.Matsuzaki, M.Katsumata,","Composition dependence of the high temperature superconductivity in (Ba,Sr)-La-(Hg,Ag)-Cu-O system with K2NiF4-type structure","Jpn.J.Appl.Phys., 26(1987)L223",1987.0
