num :,element :,name :,str3 :,tc :,lata :,latb :,latc :,refno :,ma1 :,ma2 :,mb1 :,mb2 :,mc1 :,mc2 :,md1 :,md2 :,me1 :,me2 :,mf1 :,mf2 :,mg1 :,mg2 :,mh1 :,mh2 :,mi1 :,mi2 :,mo1 :,mo2 :,oz :,composition :
2,Ba0.2La1.8Cu1O4-Y,"(Ba,La)2CuO4",T,29.0,,,,JJP0260223,Ba,0.2,La,1.8,Cu,1.0,,,,,,,,,,,,,O,4.0,,Ba0.2La1.8Cu1.0O4.0
3,Ba0.1La1.9Ag0.1Cu0.9O4-Y,"(Ba,La,Ag)2CuO4",T,26.0,,,,JJP0260223,Ba,0.1,La,1.9,Ag,0.1,Cu,0.9,,,,,,,,,,,O,4.0,,Ba0.1La1.9Ag0.1Cu0.9O4.0
4,Ba0.1La1.9Cu1O4-Y,"(Ba,La,)2CuO4",T,19.0,,,,JJP0260223,Ba,0.1,La,1.9,Cu,1.0,,,,,,,,,,,,,O,4.0,,Ba0.1La1.9Cu1.0O4.0
5,Ba0.15La1.85Cu1O4-Y,"(Ba,La)2CuO4",T,22.0,,,,JJP0260223,Ba,0.15,La,1.85,Cu,1.0,,,,,,,,,,,,,O,4.0,,Ba0.15La1.85Cu1.0O4.0
6,Ba0.3La1.7Cu1O4-Y,"(Ba,La)2CuO4",T,23.0,,,,JJP0260223,Ba,0.3,La,1.7,Cu,1.0,,,,,,,,,,,,,O,4.0,,Ba0.3La1.7Cu1.0O4.0
7,Ba0.5La1.5Cu1O4-Y,"(Ba,La)2CuO4",T,23.0,,,,JJP0260223,Ba,0.5,La,1.5,Cu,1.0,,,,,,,,,,,,,O,4.0,,Ba0.5La1.5Cu1.0O4.0
8,Ba1La1Cu1O4-Y,"(Ba,La)2CuO4",T,11.0,,,,JJP0260223,Ba,1.0,La,1.0,Cu,1.0,,,,,,,,,,,,,O,4.0,,Ba1.0La1.0Cu1.0O4.0
11,Sr0.1La1.9Cu1O4-Y,"(La,Sr)2CuO4",T,33.0,,,,JJP0260223,Sr,0.1,La,1.9,Cu,1.0,,,,,,,,,,,,,O,4.0,,Sr0.1La1.9Cu1.0O4.0
12,Sr0.15La1.85Cu1O4-Y,"(La,Sr)2CuO4",T,36.0,,,,JJP0260223,Sr,0.15,La,1.85,Cu,1.0,,,,,,,,,,,,,O,4.0,,Sr0.15La1.85Cu1.0O4.0
13,Sr0.2La1.8Cu1O4-Y,"(La,Sr)2CuO4",T,31.0,,,,JJP0260223,Sr,0.2,La,1.8,Cu,1.0,,,,,,,,,,,,,O,4.0,,Sr0.2La1.8Cu1.0O4.0
14,Sr0.3La1.7Cu1O4-Y,"(La,Sr)2CuO4",T,33.0,,,,JJP0260223,Sr,0.3,La,1.7,Cu,1.0,,,,,,,,,,,,,O,4.0,,Sr0.3La1.7Cu1.0O4.0
15,Ba0.3La1.7Hg0.3Cu0.7O4-Y,"(La,Ba)2(Cu,Hg)O4",T,26.0,,,,JJP0260223,Ba,0.3,La,1.7,Hg,0.3,Cu,0.7,,,,,,,,,,,O,4.0,,Ba0.3La1.7Hg0.3Cu0.7O4.0
