num :,element :,str3 :,tc :,refno :
658,Ba0.65K0.35Bi1O3,BKBO,23.0,PHC1570237
703,Ba0.6K0.4Bi1O3,BKBO,31.5,PRB0399682
762,Ba0.6K0.4Bi1O3,BKBO,28.9,PHC1710181
973,Ba0.6K0.4Bi1O3,BKBO,29.0,PRB0406862
1301,Ba0.77K0.23Bi1O3,BKBO,28.0,SSC0680647
1303,Ba0.7K0.75Bi1OY,BKBO,29.0,SSC0670879
1304,Ba0.9K0.2Bi1O3-Z,BKBO,20.0,PRB0373745
1305,Ba0.9K0.24Bi1O3-Z,BKBO,22.0,PRB0373745
1306,Ba0.9Rb0.2Bi1O3-Z,BKBO,15.0,PRB0373745
1307,Ba0.6K0.4Bi1O3-Z,BKBO,26.0,PRB0397339
1461,Ba0.6K0.4Bi1O3,BKBO,27.0,SSC0701155
1733,Ba0.5K0.5Bi1O3,BKBO,24.0,PR0422551
1831,Ba0.6K0.4Bi1O3,BKBO,16.0,PHC1690391
1862,Ba0.6K0.4Bi1O3,BKBO,18.0,PHC1690294
2232,Ba0.6K0.4Bi1O3,BKBO,25.5,PR0437955
2233,Ba0.6K0.4Bi1O3,BKBO,25.5,PR0437955
2287,Ba0.65K0.35Bi1O3,,27.0,PHC1560027
2288,Ba0.63K0.37Bi1O3,,27.7,PHC1560027
2289,Ba0.6K0.4Bi1O3,,28.0,PHC1560027
2290,Ba0.55K0.45Bi1O3,,25.6,PHC1560027
2902,Ba0.6K0.4Bi1O3,BKBO,32.0,PHC1800331
2968,Li1Ti1O4,LTO,12.15,PR0445326
3054,Ba0.6K0.4Bi1O3,BKBO,28.0,DE0611670
3055,Ba1Pb0.75Bi0.25O3,BPBO,10.5,DE0611670
3170,C60Rb3,,29.8,PRL0681058
3171,C60K3,fullerene,12.8,PRL0681054
3172,C60Rb3,,28.0,JJP0310166
3173,C60Rb3,,12.25,JJP0310166
3175,Cs3C60,,29.5,NAT3520223
3176,Cs2Rb1C60,,33.0,NAT3520222
3177,Cs1Rb2C60,,31.0,NAT3520222
3178,Rb3C60C60,,29.0,NAT3520222
3179,C60Rb2,,29.0,NAT3520222
3180,C60Rb4,,29.0,NAT3520222
3181,C60K3,fullerene,19.3,PRL0670271
3182,C60K3,,13.0,NAT3500600
3183,C60K3,,18.0,NAT3500600
3384,Ba0.63K0.37Bi1O3,BKBO,29.1,PHC1950373
3385,Ba0.63K0.37Bi1O3,BKBO,30.0,PHC1950373
3476,C60Rb3,fullerene,28.6,PLA1640355
3477,C60K3,fullerene,20.0,PLA1640355
3478,Ba0.6K0.4Bi0.9Pb0.1O3,BKBO,21.5,PR0461144
3479,Ba0.6K0.4Bi0.8Pb0.2O3,BKBO,14.7,PR0461144
3480,Ba0.7K0.3Bi0.7Pb0.3O3,BKBO,14.6,PR0461144
3481,Ba0.6K0.4Bi0.7Pb0.3O3,BKBO,11.3,PR0461144
3482,Ba0.9K0.1Bi0.4Pb0.6O3,BKBO,11.3,PR0461144
3619,Ba0.62K0.38Bi1O3,BKBO,29.5,PHC1950195
3624,Ba0.7K0.3Bi1O3,BKBO,29.9,PR0414126
3625,Ba0.65K0.35Bi1O3,BKBO,29.2,PR0414126
3626,Ba0.6K0.4Bi1O3,BKBO,28.5,PR0414126
3627,Ba0.575K0.425Bi1O3,BKBO,27.3,PR0414126
3628,Ba0.5K0.5Bi1O3,BKBO,19.55,PR0414126
3872,C60K3,fullerene,18.0,PR0465880
3873,C60Rb3,fullerene,30.0,PR0465880
3874,C60K3,fullerene,18.7,PR0465876
4051,C60K3,K3C60,19.5,PR04614936
4052,C60Rb3,K3C60,28.4,PR04614936
4063,Ba0.6K0.4Bi1O3,BKBO,25.5,PR0422684
4139,Ba0.625K0.375Bi1O3,BKBO,27.5,APL0572356
4146,Ba0.6K0.4Bi1O3,BKBO,25.5,PHB1690705
4147,Ba1Pb0.78Bi0.22O3,BPBO,10.3,JPS0582135
4344,Ba0.65K0.35Bi1O2.99,BKBO,18.7,PHC2010043
4345,Ba0.59K0.41Bi1O2.96,BKBO,20.4,PHC2010043
4346,Ba0.52K0.48Bi1O2.93,BKBO,20.6,PHC2010043
4347,Ba0.48K0.52Bi1O2.9,BKBO,21.1,PHC2010043
4348,Ba0.45K0.55Bi1O2.83,BKBO,18.95,PHC2010043
4650,Ba0.65K0.35Bi1O2.984,BKBO,27.9,PHC2220257
4651,Ba0.525K0.475Bi1O2.917,BKBO,25.9,PHC2220257
4652,Ba0.6K0.4Bi1O2.926,BKBO,27.6,PHC2220257
4725,Na1N1C60,fullerene,14.7,SSC0870375
4744,Ba0.55K0.45Bi1O3,BKBO,22.5,PR0486617
4745,Ba0.55K0.45Bi1O3,BKBO,20.0,PR0486617
5001,BaKBi1O3,BKBO,30.9,SSC0850501
5002,BaKBi1O3,BKBO,28.0,SSC0850501
5003,BaKBi1O3,BKBO,32.0,SSC0850501
5133,Ba1.7K0.3Pb0.95Bi0.05O4,T,11.0,PR0478008
5134,Ba1.9K0.1Pb0.85Bi0.15O4,T,12.5,PR0478008
5135,Ba1.7K0.3Pb0.9Bi0.1O4,T,11.0,PR0478008
5345,C60K3,fullerene,17.8,PHC2280181
5346,C60Rb3,fullerene,29.5,PHC2280181
5347,C60Rb3,fullerene,30.0,PHC2280175
5544,Ba0.625K0.375Bi1O3,BKBO,30.0,NAT3470369
5545,Ba0.6K0.4Bi1O3,BKBO,27.25,APL0591905
5546,Ba0.6K0.4Bi1O3,BKBO,28.0,APL0610480
5821,Na2Cs1C60,,11.7,SSC0930269
6294,C60K3,,19.3,PR05215517
6295,C60Rb3,,30.0,PR05215517
6498,Nd1.3Ba1.3Sr0.4O6.828,Y123,35.0,PHC2610105
6983,BaKBi1O3,BKBO,31.8,PR05406133
7311,Bi1.95Sr1.45La0.6Ca1O6+z,Bi2201,25.0,SST0090297
7537,Ba1Pb0.75Bi0.25O3,BPBO,12.0,SSC1010129
7912,Ba0.9K0.1Pb1O3,ABO3,30.0,PHC2350075
8344,Ba0.6K0.4Bi1O3+Z,BKBO,31.0,SSC1080059
8345,Ba0.6K0.4Bi1O3+Z,BKBO,31.0,SSC1080059
8346,Ba0.66K0.34Bi1O3+Z,BKBO,30.0,SSC1080059
8347,Ba0.76K0.24Bi1O3+Z,BKBO,28.0,SSC1080059
8348,Ba0.83K0.17Bi1O3+Z,BKBO,20.0,SSC1080059
8378,Ba0.65K0.35Bi1O3,BKBO,30.0,PR0409400
8379,Ba0.55K0.45Bi1O3,BKBO,30.0,PR04903502
8398,Ba0.66K0.34Bi1O3,BKBO,30.0,PR05812355
8399,Ba0.63K0.37Bi1O3,BKBO,29.0,PR05812355
8400,Ba0.59K0.41Bi1O3,BKBO,31.0,PR05812355
8401,Ba0.6K0.4Bi1O3,,31.4,PHC1940194
8402,Ba0.62K0.38Bi1O3.1,BKBO,29.5,PHC2150350
8403,Ba0.63K0.37Bi1O3,BKBO,32.0,PHC2100133
8404,Ba0.5K0.5Bi1O3,BKBO,15.5,PHC2290389
8405,Ba0.54K0.46Bi1O3,BKBO,18.0,PR05106171
8406,Ba0.63K0.37Bi1O3,BKBO,30.0,PR05106171
8407,Ba0.6K0.4Bi1O3,BKBO,30.8,PR05004144
8408,Ba0.51K0.49Bi1O3,BKBO,17.2,APL0640244
8409,Ba0.65K0.35Bi1O3,BKBO,31.8,PR05406133
8454,Ba0.5K0.5Bi1O3,BKBO,23.5,PR0422551
8455,Ba0.6K0.4Bi1O3,BKBO,28.6,PHC2290389
8543,Ba1K1Bi1O4,BKBO,23.0,EPL0410207
8558,Ba0.54K0.46Bi1O3,BKBO,23.0,EPL0410207
8559,Ba0.5K0.5Bi1O3,BKBO,20.0,LTP1051237
8595,Ba1K1Bi1O3,BKBO,23.3,PRL0824930
8622,Nd1Ba1.65La0.35O6.69,Y123,36.5,PHC3200087
8623,Nd1Ba1.6La0.4O6.68,Y123,37.0,PHC3200087
9517,Sr1Nb2Oz,,11.5,JJP0301155
9518,Sr0.9Nd0.1Nb2Oz,,11.5,JJP0301155
9519,Ca1Nb2Oz,,11.0,JJP0301155
9540,Ba0.62K0.38Bi1O3,BKBO,21.5,SSC0780967
9541,Ba0.57K0.43Bi1O3,BKBO,21.2,SSC0780967
9542,Ba0.54K0.46Bi1O3,BKBO,19.0,SSC0780967
9543,Ba0.52K0.48Bi1O3,BKBO,18.7,SSC0780967
9544,Ba0.5K0.5Bi1O3,BKBO,16.5,SSC0780967
9545,Ba0.6K0.4Bi1O3,BKBO,31.2,PHC2670270
9546,Ba0.6K0.4Bi1O3,BKBO,29.1,PHC2670270
9550,Ba0.6K0.4Bi1O3,BKBO,29.0,PR06114815
9551,Ba0.6K0.4Bi1O3,BKBO,27.0,PR06114815
9552,Ba1Pb0.75Bi0.25O3,BPBO,11.6,PR06114804
9565,Sr0.4K0.6Bi1O3,BKBO,12.0,NAT3900148
9566,Sr0.5Rb0.5Bi1O3,BKBO,13.0,NAT3900148
9567,Sr0.4K0.6Bi1O3,BKBO,11.18,PR06211977
9568,Sr0.4K0.6Bi1O3,BKBO,11.0,PR06211977
9569,Sr0.4K0.6Bi1O3,BKBO,11.5,PR06211977
9755,Ho1Nb1O3-z,ABO3,15.0,PHC3510363
9841,Sr0.4K0.6Bi1O3,BKBO,11.3,P064064502
9842,Sr0.4K0.6Bi1O3,BKBO,11.55,P064064502
9867,Ba0.5Nb1O2-z,,19.75,JEL0600440
9868,Ba0.25Nb1O2-z,,18.05,JEL0600440
9893,Sr0.4K0.6Bi1O3,BKBO,11.3,SUP0140341
10073,Ba0.64K0.36Bi1O3,,28.5,PR04903502
12065,Y1Ni2B2C1,LuNi2B2C,14.6,L093156802
33056,K0.85La0.15Bi1O3,BKBO,10.25,PHC3560012
33057,K0.8La0.2Bi1O3,BKBO,12.2,PHC3560012
33058,K0.75La0.25Bi1O3,BKBO,12.2,PHC3560012
33064,Rb1Bi1O3,BKBO,11.0,PHC3050275
33065,Rb0.9Bi1.1O3,BKBO,11.0,PHC3050275
33066,Rb0.7Bi1.3O3,BKBO,11.0,PHC3050275
33067,Rb0.6Bi1.4O3,BKBO,11.0,PHC3050275
33068,K1Bi1O3,BKBO,10.2,PHC3050275
33069,K0.95Bi1.05O3,BKBO,10.2,PHC3050275
33070,K0.9Bi1.1O3,BKBO,10.2,PHC3050275
33071,K0.8Bi1.2O3,BKBO,10.2,PHC3050275
33232,Li2.6Ti1.7O4,Li2TiO4,11.4,SSC0200995
33233,Li2.6Ti1.9O4,Li2TiO4,11.2,SSC0200995
33234,Li2.6Ti2.7O4,Li2TiO4,10.9,SSC0200995
33415,Ba0.6K0.4Bi1O3,BKBO,30.9,PHC3570252
33416,Ba0.6K0.4Bi0.99Pr0.01O3,BKBO,26.4,PHC3570252
33417,Ba0.6K0.4Bi0.979Pr0.021O3,BKBO,23.5,PHC3570252
33418,Ba0.6K0.4Bi0.969Pr0.031O3,BKBO,18.4,PHC3570252
33419,Ba0.6K0.4Bi0.955Pr0.045O3,BKBO,14.4,PHC3570252
33420,Ba0.6K0.4Bi0.933Pr0.067O3,BKBO,11.1,PHC3570252
33423,Ba0.47K0.53Bi1O3,BKBO,11.0,PHC3570252
33730,Ba0.635K0.365Bi1O3,BKBO,30.4,PHC3840343
33731,Ba0.557K0.443Bi1O3,BKBO,25.0,PHC3840343
33732,Ba0.445K0.555Bi1O3,BKBO,14.0,PHC3840343
33740,Ba0.45K0.55Bi1O3,BKBO,12.7,JCG2110471
33741,Ba0.5K0.5Bi1O3,BKBO,18.6,JCG2110471
33742,Ba0.644K0.356Bi1O3,BKBO,29.0,JCG2110471
